"","Name_submitted","Accepted_name","Common.Name","Butterflies.and.Moths.Supported","Attracts.Wildlife","Plant.Type","Form","Height","Width","Growth.Rate","Seasonality","Flower.Color","Flowering.Season","Fragrance","Sun","Soil.Drainage","Water.Requirement","Summer.Irrigation","Ease.of.Care","Nursery.Availability","Companions","Special.Uses","Communities..simplified.","Communities","Hardiness","Sunset.Zones","Soil","Soil.Texture","Soil.pH","Soil.Toxicity","Mulch","Site.Type","Elevation..min.","Elevation..max.","Rainfall..min.","Rainfall..max.","Tips","Pests","Propagation","Height..min.","Height..max.","Width..min.","Width..max.","Other.Names","Alternative.Common.Names","Obsolete.Names","Rarity","Is.Cultivar","Jepson.Link","Plant.Url","QR.Codes..change.number.to.change.image.size.in.pixels."
"2167","Cirsium scariosum var. americanum","Cirsium scariosum var. americanum","Dinnerplate Thistle",11,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,4.61,95.64,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+americanum","https://calscape.org/Cirsium-scariosum-var.-americanum-%28Dinnerplate-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-americanum-%28Dinnerplate-Thistle%29.png"
"2168","Cirsium scariosum var. citrinum","Cirsium scariosum var. citrinum","Southern Meadow Thistle",13,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,5.33,38.12,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+citrinum","https://calscape.org/Cirsium-scariosum-var.-citrinum-%28Southern-Meadow-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-citrinum-%28Southern-Meadow-Thistle%29.png"
"2169","Cirsium scariosum var. congdonii","Cirsium scariosum var. congdonii","Rosette Thistle",10,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,5.42,70.51,"","","",NA,NA,NA,NA,"","Congdon's Thistle","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+congdonii","https://calscape.org/Cirsium-scariosum-var.-congdonii-%28Rosette-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-congdonii-%28Rosette-Thistle%29.png"
"2170","Cirsium scariosum var. loncholepis","Cirsium scariosum var. citrinum","La Graciosa Thistle",7,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,13.71,27.06,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+loncholepis","https://calscape.org/Cirsium-scariosum-var.-loncholepis-%28La-Graciosa-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-loncholepis-%28La-Graciosa-Thistle%29.png"
"2171","Cirsium scariosum var. robustum","Cirsium scariosum var. robustum","Shasta Valley Thistle",4,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,23.59,87.56,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+robustum","https://calscape.org/Cirsium-scariosum-var.-robustum-%28Shasta-Valley-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-robustum-%28Shasta-Valley-Thistle%29.png"
"2172","Cirsium scariosum var. scariosum","Cirsium scariosum var. scariosum","Elk Thistle",3,"Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,0,0,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+scariosum+var.+scariosum","https://calscape.org/Cirsium-scariosum-var.-scariosum-%28Elk-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-scariosum-var.-scariosum-%28Elk-Thistle%29.png"
"2173","Cirsium undulatum","Cirsium undulatum","Wavyleaf Thistle",12,"Butterflies, Caterpillars","Perennial herb","","7 ft","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,7.61,24.11,"","","",84,84,NA,NA,"","Wavy-leaved Thistle,Gray Thistle","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cirsium+undulatum","https://calscape.org/Cirsium-undulatum-%28Wavyleaf-Thistle%29","https://calscape.org/storage/app/media/qr/Cirsium-undulatum-%28Wavyleaf-Thistle%29.png"
"2174","Cistanthe maritima","Cistanthe maritima","Seaside Cistanthe",0,"Butterflies","Annual herb","Mounding, Spreading","1 - 3 in","1 - 2 in","Slow, Very Slow","Evergreen","Pink, Purple","Spring, Summer","Slight","Full Sun, Partial Shade","Fast, Medium","Extremely Low, Very Low","Max 2x / month once established","Moderate","Never or Almost Never Available","","Groundcover","","","Tolerates cold to 36 - 32&deg; F","15*, 16, 16*, 17*, 17, 18*, 19*, 20*, 21*, 21, 22*, 22, 23*, 23, 24*, 24","Coarse, well drained, to sandy clay","Loamy Sand, Sand, Sandy Clay, Sandy Clay Loam, Sandy Loam, Silt","","","Inorganic","Southern coastal California, and into Baja California with a small pocket naturalized in the Bay Area",NA,NA,8.46,19.16,"","","",1,3,1,2,"Calandrinia maritima","Seaside Calandrinia,Coast Calandrinia,Seaside Pussypaws","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cistanthe+maritima","https://calscape.org/Cistanthe-maritima-%28Seaside-Cistanthe%29","https://calscape.org/storage/app/media/qr/Cistanthe-maritima-%28Seaside-Cistanthe%29.png"
"2175","Cladium californicum","Cladium mariscus subsp. californicum","California Sawgrass",1,"Butterflies, Caterpillars","Grass","","3 - 7 ft","","","","Purple, Brown","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,1.82,27.06,"","","",36,84,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Cladium+californicum","https://calscape.org/Cladium-californicum-%28California-Sawgrass%29","https://calscape.org/storage/app/media/qr/Cladium-californicum-%28California-Sawgrass%29.png"
"2176","Clarkia affinis","Clarkia affinis","Chaparral Clarkia",5,"Bees, Butterflies, Caterpillars","Annual herb","","2 ft","","","","Pink, Purple, Red","","","","","","","","Never or Almost Never Available","","","Chaparral, Woodland","Chaparral, Foothill Woodland","","","","","","","","",NA,NA,5.88,60.64,"","","",24,24,NA,NA,"","Chaparral Fairyfan","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+affinis","https://calscape.org/Clarkia-affinis-%28Chaparral-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-affinis-%28Chaparral-Clarkia%29.png"
"2177","Clarkia amoena","Clarkia amoena","Farewell To Spring",5,"Bats, Bees, Butterflies, Caterpillars","Annual herb","","2 - 3 ft","","Fast","","Lavender, Pink, Purple, Red","Spring, Summer","","Full Sun","Fast, Medium, Slow","Low","Max 1x / month once established","Moderate","Commonly Available","Mixes well with other annuals, especially blues such as Lupinus species, Baby Blue Eyes (Nemophila menziesii), Globe Gilia (Gilia capitata); yellows/oranges/golds such as Tidy Tips (Layia playgloss), Western Wallflower (Erysimum capitatum) and California Poppy (Eschscholzia californica). Also good with perennial herbs such as Western Columbine (Aquiligia formosa), Phacelia species, and bulbs/corms such as Calochortus species.","Containers, Deer resistant","Coastal Scrub, Forest, Grassland, Woodland","Coastal Prairie, Mixed Evergreen Forest, Northern Coastal Scrub, Northern Oak Woodland, Forest","","","Tolerates both sandy and clay soils","","6.0 - 8.0","Tolerates saline soil.,Tolerates sodic soil.","","Found in various settings in northern California including coastal prairie, northern coastal scrub, spring-moist areas, openings in evergreen forest or oak woodlands, and grasslands",2,6300,10.88,167.94,"Prefers sun. Likes spring-moist, soils.","","Seed germinates readily. Best if sowed in masses or drifts",24,36,NA,NA,"Clarkia, Amonena | Farewell To Spring, Amonena","Farewell-to-spring,Godetia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+amoena","https://calscape.org/Clarkia-amoena-%28Farewell-To-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-%28Farewell-To-Spring%29.png"
"2178","Clarkia amoena 'Aurora'","Clarkia amoena","Aurora Farewell-to-Spring",0,"Bats, Bees","Annual herb","Upright","","","Fast","","Pink, White","Summer, Spring","","Full Sun","","","Extremely Low, Very Low, Low","","","","","","","","","","","","","","",NA,NA,0,0,"","","",0,0,0,0,"","","","","Y","","https://calscape.org/Clarkia-amoena-%27Aurora%27-%28Aurora-Farewell-to-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-%27Aurora%27-%28Aurora-Farewell-to-Spring%29.png"
"2179","Clarkia amoena 'Scarlet'","Clarkia amoena","Scarlet Farewell-to-Spring",0,"Bats, Bees, butterflies","Annual herb","Upright","","","Fast","","Red","Spring, Summer","","Full Sun","","","Extremely Low, Very Low, Low","","","","","","","","","","","","","","",NA,NA,0,0,"","","",0,0,0,0,"","","","","Y","","https://calscape.org/Clarkia-amoena-%27Scarlet%27-%28Scarlet-Farewell-to-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-%27Scarlet%27-%28Scarlet-Farewell-to-Spring%29.png"
"2180","Clarkia amoena ssp. amoena","Clarkia amoena subsp. amoena","Farewell To Spring",5,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,21.91,167.94,"","","",NA,NA,NA,NA,"","Farewell-to-spring","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+amoena+subsp.+amoena","https://calscape.org/Clarkia-amoena-ssp.-amoena-%28Farewell-To-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-ssp.-amoena-%28Farewell-To-Spring%29.png"
"2181","Clarkia amoena ssp. huntiana","Clarkia amoena subsp. huntiana","Farewell To Spring",5,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Pink","","","Full Sun","","","","","Never or Almost Never Available","","","","","","4*, 5*, 6*, 7, 8, 9, 14*, 15*, 16*, 17*, 19, 20*, 21*, 22*, 23*, 24*","","","","","","Spring-moist, open places",0,1466,19.27,167.94,"Prefers sun. Likes spring-moist, soils.","","",36,36,NA,NA,"Clarkia, Amonena | Farewell To Spring, Amonena","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+amoena+subsp.+huntiana","https://calscape.org/Clarkia-amoena-ssp.-huntiana-%28Farewell-To-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-ssp.-huntiana-%28Farewell-To-Spring%29.png"
"2182","Clarkia amoena ssp. whitneyi","Clarkia amoena subsp. whitneyi","Farewell To Spring",3,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Red, Pink","Summer","","Full Sun","","Low","","","Sometimes Available","","Deer resistant","Coastal Scrub","Northern Coastal Scrub","","","","","","","","Spring-moist, open places",18,512,15.13,131.36,"Prefers sun. Likes spring-moist, soils.","","",36,36,NA,NA,"Clarkia, Whitney's | Farewell To Spring, Whitney's","Whitney's Clarkia,Farewell-to-spring","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+amoena+subsp.+whitneyi","https://calscape.org/Clarkia-amoena-ssp.-whitneyi-%28Farewell-To-Spring%29","https://calscape.org/storage/app/media/qr/Clarkia-amoena-ssp.-whitneyi-%28Farewell-To-Spring%29.png"
"2183","Clarkia arcuata","Clarkia arcuata","Glandular Fairyfan",4,"Bees, Butterflies, Caterpillars","Annual herb","","2 - 3 ft","","","","Pink","","","Full Sun, Partial Shade","","","","","Never or Almost Never Available","","","Chaparral, Forest, Woodland","Chaparral, Foothill Woodland, Yellow Pine Forest","","","","","","","","Open places, Spring-moist soils",200,6135,15.41,93.91,"Prefers sun or part shade. Likes moist soils.","","",24,36,NA,NA,"Clarkia, Glandular | Farewell To Spring, Glandular","Glandular Clarkia,Hairy Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+arcuata","https://calscape.org/Clarkia-arcuata-%28Glandular-Fairyfan%29","https://calscape.org/storage/app/media/qr/Clarkia-arcuata-%28Glandular-Fairyfan%29.png"
"2184","Clarkia australis","Clarkia australis","Small's Southern Clarkia",3,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,15.9,54.32,"","","",36,36,NA,NA,"","Southern Fairyfan","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+australis","https://calscape.org/Clarkia-australis-%28Small%27s-Southern-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-australis-%28Small%27s-Southern-Clarkia%29.png"
"2185","Clarkia biloba","Clarkia biloba","Two Lobed Clarkia",5,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Pink, Purple, Red","","","Full Sun, Partial Shade","","","","","Never or Almost Never Available","","","Chaparral, Forest, Woodland","Chaparral, Foothill Woodland, Yellow Pine Forest","","","","","","","","Dry places",0,5771,10.4,93.91,"Prefers sun.","","",36,36,NA,NA,"Clarkia, Two Lobed | Farewell To Spring, Two Lobed","Two-lobed Clarkia,Twolobe Clarkia,Brandegee's Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+biloba","https://calscape.org/Clarkia-biloba-%28Two-Lobed-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-biloba-%28Two-Lobed-Clarkia%29.png"
"2186","Clarkia biloba ssp. australis","Clarkia biloba subsp. australis","Mariposa Clarkia",3,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,15.9,50.84,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+biloba+subsp.+australis","https://calscape.org/Clarkia-biloba-ssp.-australis-%28Mariposa-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-biloba-ssp.-australis-%28Mariposa-Clarkia%29.png"
"2187","Clarkia biloba ssp. biloba","Clarkia biloba subsp. biloba","Twolobe Clarkia",5,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Pink","","","Full Sun, Partial Shade","","","","","Never or Almost Never Available","","","","","","1, 6, 7, 8, 9, 14*, 15*, 16*, 17*, 19*, 20*, 21*, 22, 23, 24","","","","","","Dry places",0,1304,13.89,88.43,"Prefers sun.","","",36,36,NA,NA,"Clarkia, Twolobe | Farewell To Spring, Twolobe","Two-lobed Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+biloba+subsp.+biloba","https://calscape.org/Clarkia-biloba-ssp.-biloba-%28Twolobe-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-biloba-ssp.-biloba-%28Twolobe-Clarkia%29.png"
"2188","Clarkia biloba ssp. brandegeeae","Clarkia biloba subsp. brandegeae","Brandegee's Clarkia",4,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,12.47,93.91,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+biloba+subsp.+brandegeeae","https://calscape.org/Clarkia-biloba-ssp.-brandegeeae-%28Brandegee%27s-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-biloba-ssp.-brandegeeae-%28Brandegee%27s-Clarkia%29.png"
"2189","Clarkia borealis","Clarkia borealis","Northern Clarkia",3,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Pink, Purple","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,NA,NA,"","","",36,36,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+borealis","https://calscape.org/Clarkia-borealis-%28Northern-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-borealis-%28Northern-Clarkia%29.png"
"2190","Clarkia borealis ssp. arida","Clarkia borealis subsp. arida","Shasta Clarkia",1,"Butterflies, Caterpillars","Annual herb","","","","","","","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,30.29,85.06,"","","",0,0,0,0,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+borealis+subsp.+arida","https://calscape.org/Clarkia-borealis-ssp.-arida-%28Shasta-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-borealis-ssp.-arida-%28Shasta-Clarkia%29.png"
"2191","Clarkia borealis ssp. borealis","Clarkia borealis subsp. borealis","Northern Clarkia",2,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,30.91,91.59,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+borealis+subsp.+borealis","https://calscape.org/Clarkia-borealis-ssp.-borealis-%28Northern-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-borealis-ssp.-borealis-%28Northern-Clarkia%29.png"
"2192","Clarkia bottae","Clarkia bottae","Punch Bowl Godetia",5,"Bats, Bees, Butterflies, Caterpillars","Annual herb","","3 ft","6 in","","","Pink, Purple, Lavender, Red","Spring","","Partial Shade, Full Sun","Fast, Medium, Slow","Low","Max 2x / month once established","","Sometimes Available","Use with native grasses, other annuals and herbaceous perennials such as Mariposa Lily (<a href=""/search/?plant=Calochortus%20(Genus)"">Calochortus spp.</a>), Owl's Clover (Castilleja exserta), Chinese Houses (Collinsia heterophylla), Blue Dicks (Dichelostemma capitatum), California Poppy (Eschscholzia californica), Tricolor Gilia (Gilia tricolor), Tidy Tips (Layia platyglossa), Lupine (<a href=""/search/?plant=Lupinus%20(Genus)"">Lupinus spp.</a>), Baby Blue Eyes (Nemophila menziesii), Wind Poppy (Papaver heterphyllum), and <a href=""/search/?plant=Penstemon%20(Genus)"">Penstemon spp.</a>","","Chaparral, Coastal Scrub, Forest, Woodland","Chaparral, Closed-cone Pine Forest, Coastal Sage Scrub, Foothill Woodland, Mixed Evergreen Forest, Southern Oak Woodland","Tolerates cold to -5&deg; F","6, 7*, 8, 9, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Adaptable","","6.0 - 8.0","Tolerates saline soil.,Tolerates sodic soil.","","Open places in grasslands and meadow-like areas, sometimes in openings between larger shrubs",44,5486,7.04,57.27,"Prefers sun or part shade.","","By seed",36,36,6,6,"Clarkia, Botta's | Farewell To Spring, Botta's","Botta's Fairyfan,Punch-bowl Godetia,Punchbowl Godetia,Botta's Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+bottae","https://calscape.org/Clarkia-bottae-%28Punch-Bowl-Godetia%29","https://calscape.org/storage/app/media/qr/Clarkia-bottae-%28Punch-Bowl-Godetia%29.png"
"2193","Clarkia breweri","Clarkia breweri","Fairy Fans",5,"Bees, Butterflies, Caterpillars","Annual herb","","8 in","","","","Pink, Lavender","Spring","","Full Sun, Partial Shade","","Low","","Moderate","Rarely Available","","","Chaparral, Coastal Scrub, Woodland","Chaparral, Foothill Woodland, Northern Coastal Scrub","","7*, 8, 9, 14*, 15, 16, 17, 19, 20, 21, 22, 23, 24","","","","","","Open places",239,4691,6.66,54.41,"Requires fast draining soil. Prefers sun or part shade.","","",8,8,NA,NA,"Clarkia, Brewer's | Farewell To Spring, Brewer's","Brewer's Fairy Fans,Brewer's Clarkia","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+breweri","https://calscape.org/Clarkia-breweri-%28Fairy-Fans%29","https://calscape.org/storage/app/media/qr/Clarkia-breweri-%28Fairy-Fans%29.png"
"2194","Clarkia concinna","Clarkia concinna","Red Ribbons",5,"Bees, Butterflies, Caterpillars","Annual herb","","1 ft","1 ft","","","Pink, Purple, White, Red","Spring, Summer","","Full Sun, Partial Shade","Fast","Very Low","Max 1x / month once established","Moderate","Commonly Available","Use with other annuals or herbaceous perennials such as Snapdragon (<a href=""/search/?plant=Antirrhinum%20(Genus)"">Antirrhinum spp.</a>), Sitka Columbine (Aquilegia formosa), Milkweed (<a href=""/search/?plant=Asclepias%20(Genus)"">Asclepias spp.</a>), Chinese Houses (Collinsia heterophylla), Western Wallflower (Erysimum capitatum), Poppy (<a href=""/search/?plant=Eschscholzia%20(Genus)"">Eschscholzia spp.</a>), Blue Field Gilia (Gilia capitata); with geophytes such as onion (<a href=""/search/?plant=Allium%20(Genus)"">Allium spp.</a>), Mariposa Lily (<a href=""/search/?plant=Calochortus%20(Genus)"">Calochortus spp.</a>); and with small succulents such as Dudleya spp.","","Forest, Woodland","Douglas-Fir Forest, Mixed Evergreen Forest, Northern Oak Woodland","Tolerates cold to 15&deg; F","7, 8, 9, 14, 15*, 16*, 17*, 19, 20, 21, 22, 23, 24*","Reportedly does not do well in clay","","","","","Relatively dry, wooded foothills and mountains to 4,000 ft.",2,5176,14.44,167.94,"Prefers sun or part shade.","","Sow seeds in late summer to fall and do not thin seedlings. Crowding appears to encourage more blooms.",12,12,12,12,"Clarkia, Red Ribbons | Farewell To Spring, Red Ribbons","Raiche's Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+concinna","https://calscape.org/Clarkia-concinna-%28Red-Ribbons%29","https://calscape.org/storage/app/media/qr/Clarkia-concinna-%28Red-Ribbons%29.png"
"2195","Clarkia concinna ssp. automixa","Clarkia concinna subsp. automixa","Santa Clara Red Ribbons",5,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,15.1,60.64,"","","",NA,NA,NA,NA,"","Red Ribbons","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+concinna+subsp.+automixa","https://calscape.org/Clarkia-concinna-ssp.-automixa-%28Santa-Clara-Red-Ribbons%29","https://calscape.org/storage/app/media/qr/Clarkia-concinna-ssp.-automixa-%28Santa-Clara-Red-Ribbons%29.png"
"2196","Clarkia concinna ssp. concinna","Clarkia concinna subsp. concinna","Red Ribbons",5,"Bees, Butterflies, Caterpillars","Annual herb","","1 ft","","","","Pink","","","Full Sun, Partial Shade, Deep Shade","","","","","Never or Almost Never Available","","","Coastal Scrub, Forest, Woodland","Mixed Evergreen Forest, Woodland, Coastal Sage Scrub","","","","","","","","",0,1578,14.44,121.33,"","","",12,12,NA,NA,"Clarkia, Red Ribbons | Farewell To Spring, Red Ribbons","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+concinna+subsp.+concinna","https://calscape.org/Clarkia-concinna-ssp.-concinna-%28Red-Ribbons%29","https://calscape.org/storage/app/media/qr/Clarkia-concinna-ssp.-concinna-%28Red-Ribbons%29.png"
"2197","Clarkia concinna ssp. raichei","Clarkia concinna subsp. raichei","Raiche's Red Ribbons",1,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,29.82,42.04,"","","",NA,NA,NA,NA,"","Raiche's Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+concinna+subsp.+raichei","https://calscape.org/Clarkia-concinna-ssp.-raichei-%28Raiche%27s-Red-Ribbons%29","https://calscape.org/storage/app/media/qr/Clarkia-concinna-ssp.-raichei-%28Raiche%27s-Red-Ribbons%29.png"
"2198","Clarkia cylindrica","Clarkia cylindrica","Speckled Clarkia",5,"Bees, Butterflies, Caterpillars","Annual herb","","1 - 2 ft","","","","Pink, White, Lavender","","","Full Sun, Partial Shade","","","","Moderate","Rarely Available","","","Chaparral, Grassland, Woodland","Chaparral, Foothill Woodland, Valley Grassland","","","","","","","","Open grassy places,",44,11636,5.63,57.27,"Prefers sun or part shade.","","",12,24,NA,NA,"Clarkia, Speckled | Farewell To Spring, Speckled","Speckled Fairyfan","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+cylindrica","https://calscape.org/Clarkia-cylindrica-%28Speckled-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-cylindrica-%28Speckled-Clarkia%29.png"
"2199","Clarkia cylindrica ssp. clavicarpa","Clarkia cylindrica subsp. clavicarpa","",4,"Bees, Butterflies, Caterpillars","Annual herb","","","","","","Pink","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,6.81,51.1,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+cylindrica+subsp.+clavicarpa","https://calscape.org/Clarkia-cylindrica-ssp.-clavicarpa-%28%29","https://calscape.org/storage/app/media/qr/Clarkia-cylindrica-ssp.-clavicarpa-%28%29.png"
"2200","Clarkia cylindrica ssp. cylindrica","Clarkia cylindrica subsp. cylindrica","Speckled Clarkia",5,"Bees, Butterflies, Caterpillars","Annual herb","","2 ft","","","","Pink","","","Full Sun, Partial Shade","","","","","Never or Almost Never Available","","","Chaparral, Grassland, Woodland","Chaparral, Foothill Woodland, Valley Grassland","","7, 8, 9, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","","","","","","Open grassy places,",67,1964,5.91,51.67,"Prefers sun or part shade.","","",24,24,NA,NA,"Clarkia, Speckled | Farewell To Spring, Speckled","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+cylindrica+subsp.+cylindrica","https://calscape.org/Clarkia-cylindrica-ssp.-cylindrica-%28Speckled-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-cylindrica-ssp.-cylindrica-%28Speckled-Clarkia%29.png"
"2201","Clarkia davyi","Clarkia davyi","Davy's Fairyfan",5,"Bees, Butterflies, Caterpillars","Annual herb","","3 ft","","","","Pink","","","","","","","","Never or Almost Never Available","","Containers","Coastal Scrub, Grassland","Coastal Prairie, Northern Coastal Scrub","","","","","","","","",NA,NA,11.84,73.03,"","","",36,36,NA,NA,"","Davy's Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+davyi","https://calscape.org/Clarkia-davyi-%28Davy%27s-Fairyfan%29","https://calscape.org/storage/app/media/qr/Clarkia-davyi-%28Davy%27s-Fairyfan%29.png"
"2202","Clarkia delicata","Clarkia delicata","Delicate Clarkia",2,"Bees, Butterflies, Caterpillars","Annual herb","","2 ft","","","","Pink, Lavender","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,4.61,33.21,"","","",24,24,NA,NA,"","Campo Clarkia","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Clarkia+delicata","https://calscape.org/Clarkia-delicata-%28Delicate-Clarkia%29","https://calscape.org/storage/app/media/qr/Clarkia-delicata-%28Delicate-Clarkia%29.png"
