"","Name_submitted","Accepted_name","paperid","inv_ctry","explicit_invdef","explicit_invdefdesc","implicit_invdef","implicit_invdefdesc","locdata","locdata_type","finding"
"7523","plantago lanceolata","Plantago lanceolata","GIAC2017","Argentina","N",NA,NA,NA,"Y","COORDS","the floristic variability of the riparian vegetation typical of streams from the austral pampas allowed us to distinguish eight floristic associations that were mostly composed by invasive species...these floristic associations showed significant differences in the physical properties of the soils (bulk density, sand, organic matter), and in vegetation sensitive properties such as, aboveground, litter and root biomasses."
"7524","plantago lanceolata","Plantago lanceolata","HANL2012","United States of America","N",NA,NA,NA,"Y","COORDS","cotyledon removal reduced early growth for all populations, with no variation between introduced- or native-range plants. although more variable, the effects of cotyledon loss on flowering potential were also unrelated to range."
"7525","plantago lanceolata","Plantago lanceolata","HEBE2017","China","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"7526","plantago lanceolata","Plantago lanceolata","HEBE2017","Korea, Republic of","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"7527","plantago lanceolata","Plantago lanceolata","JO2018","United States of America","N",NA,NA,NA,"N",NA,"our results indicate that dominant forest tree mycorrhizal type is closely linked with understory invasions. the increased invader abundance in am dominant forests can further facilitate nutrient cycling, leading to the alteration of ecosystem structure and functions."
"7528","plantago lanceolata","Plantago lanceolata","KALI2020",NA,"N",NA,NA,NA,"N",NA,"...our analysis shows that allelopathy is present in 72% of the 113 plant families surveyed, suggesting that this ubiquitous mechanism of invasion deserves more attention as invasion rates increase across the globe."
"7529","plantago lanceolata","Plantago lanceolata","KLEU2011","Canada","Y","for each congeneric pair, we categorized the species that is most widely naturalized in north america as invasive and the least widely naturalized one as non-invasive.",NA,NA,"N",NA,"we conclude that high biomass production across different light environments pre-adapts species to become invasive, and that this is not mediated by plasticities of the morphological traits that we measured."
"7530","plantago lanceolata","Plantago lanceolata","KLEU2011","United States of America","Y","for each congeneric pair, we categorized the species that is most widely naturalized in north america as invasive and the least widely naturalized one as non-invasive.",NA,NA,"N",NA,"we conclude that high biomass production across different light environments pre-adapts species to become invasive, and that this is not mediated by plasticities of the morphological traits that we measured."
"7531","plantago lanceolata","Plantago lanceolata","MORG2006A","Australia","N",NA,NA,NA,"Y","COORDS","in burnt sites with disturbance the rate of germination and total percent germination of invaded species was enhanced."
"7532","plantago lanceolata","Plantago lanceolata","PYSE2017",NA,"Y","to classify the species as invasive or not, we followed the definition used in environmental policy according to which invasive species exert negative impacts on the environment (cbd 2000, iucn 2000). this definition differs somewhat from the one widely used in ecology that considers invasive species as the subset of naturalized alien species which spread rapidly from the point of introduction regardless of their impact (richardson et al. 2000, 2011, blackburn et al. 2011).",NA,NA,"N",NA,"by reviewing the global naturalized alien flora data base, the authors describe the patterns of diversity and geographic distribution in naturalized and invasive alien plant species. the mainland regions with the highest number of alien species were asutralia and north america. england, japan, new zealand and the hawaiian archipelago harbour most naturalized plants among islands or island groups. the authors believe this data base could help fill gaps in invasive species data and help to allocate resources for management."
"7533","plantago lanceolata","Plantago lanceolata","ROJA2017","Bahamas","Y","we only included alien spermatophyte species classified as “invasive” on the original sources consulted. these sources followed standardized criteria (e.g., beck et al., 2008; richardson et al., 2000) to classify species as invasive: (1) species are non-native, (2) they have established in new habitats without direct human assistance after their introduction, and (3) they are spreading over considerable areas causing negative (economic or environmental) impacts.",NA,NA,"N",NA,"evidence suggests that species behaving as invasive in one area have higher probability to become invasive in other areas...the dataset of invasive species presented here could thus be used as a blacklist of unwanted species to prevent their spread across the region and to avoid new introductions of likely invasive species."
"7534","plantago lanceolata","Plantago lanceolata","SHAO2019","China","N",NA,NA,NA,"Y","COORDS","salvia reflexa exhibited a high score of 10, suggesting it is a potentially pernicious alien invasive plant. although the current distribution of s. reflexa is restricted to liaoning province and thus far has limited impact on local environments, local regulatory authorities should pay close attention to this plant and take measures to stop its expansion."
"7535","plantago lanceolata","Plantago lanceolata","STOT2020","Iran, Islamic Republic of","N",NA,NA,NA,"Y","MAP","the strong differences between the native (home) and non-native (away) range in species co-occurrence patterns are evidence that the way in which species associate with resident communities in their non-native range is not species dependent, but is instead a property of being away from their native range. these results thus highlight that species might undergo important ecological changes when introduced away from their native range."
"7536","plantago lanceolata","Plantago lanceolata","STOT2020","Iran, Islamic Republic of","N",NA,NA,NA,"Y","MAP","the strong differences between the native (home) and non-native (away) range in species co-occurrence patterns are evidence that the way in which species associate with resident communities in their non-native range is not species dependent, but is instead a property of being away from their native range. these results thus highlight that species might undergo important ecological changes when introduced away from their native range. overall, we show origin-dependent associations that result in novel communities, in which alien-rich patches exist within a mosaic of native-dominated communities."
"7537","plantago lanceolata","Plantago lanceolata","STUB2016","United States of America","Y","exotic species lack a co-evolutionary history with co-occurring native species; potentially allowing introduced exotics to have larger impacts on community dynamics and ecosystem processes than do invading native species (pysek et al. 2012; simberloff et al. 2012; ricciardiet al. 2013).",NA,NA,"Y","COORDS","we suggest that; when exploring assembly mechanisms in community ecology; the costs associated with late arrival may be as important as the benefits of arriving early. these priority effects may ultimately play a role in promoting the local success and overall distribution of exotic invaders."
"7538","plantago lanceolata","Plantago lanceolata","THAK2014","United States of America","N",NA,NA,NA,"N",NA,"our results indicate that soil with a warming histroy may benefit some invasive plants in the temperate-boreal ecotone with potential impacts on plant community composition. future studies should investigate the impact of warming-induced differences in soil organisms and nutrients on plant invasion."
"7539","plantago lanceolata","Plantago lanceolata","VALL2019A","United States of America","N",NA,NA,NA,"N",NA,"while drought negatively impacted plant performance overall, invasives showed more negative responses for growth and reproductive traits. invasives also grew larger than native species, especially under well-watered conditions, and produced seed with higher rates of germination. invasives may be more negatively impacted by drought compared with natives, but they are also able to capitalize on high resource conditions and greatly increase reproductive output. such opportunistic responses exhibited by invasives might explain previously observed fluctuations in their abundance under variable precipitation."
"7540","chrysanthemoides monilifera subsp. monilifera","Osteospermum moniliferum","ALHA2015","Australia","Y","has been identified as a major source of phytotoxic alleochemicals and a plant of serious ecological impacts on native species. collectively, the two sub-species of c. monilifera (subsp. monilifera and subsp. rotundata) threaten about 200 indigenous species in australia, including significant rare species.",NA,NA,"Y","COORDS","our findings help to explain the mechanism of invasion by boneseed and emphasize the importance of mitigating the effects of allelopathy by boneseed to protect native and crop species."
"7541","mahonia bealei","Berberis bealei","ALL_2006","United States of America","Y","shades out other plants, disupting/preventing their growth ",NA,NA,"N",NA,"mahonia bealei invades forest habitat quite rapidly and has many vectors of dispersal. as this can be a relatively large plant, it can diminish the growth of smaller species "
"7542","amaranthus albus","Amaranthus albus","ALLE1984","United States of America","N",NA,NA,NA,"N",NA,"success of the introduced species is attributed to (1) effective dispersal due to the tumbleweed habit, (2) deeper roots which may deplete soil moisture to the detriment of associated native species, and (3) temporal resource partitioning, where the introduced species maximize growth either earlier (c3 plants) or later (c4 plants) in the growing season than most of the native c3 species."
"7543","amaranthus albus","Amaranthus albus","ANDE2015A","United States of America","N",NA,NA,NA,"Y","COORDS","probability of occurrence of the eight focal invasive species was not significantly related to distance from the road, but declined with elevation. non-native species considered invasive occurred at lower minimum elevations than naturalized species."
"7544","amaranthus albus","Amaranthus albus","CARB2018",NA,"N",NA,NA,NA,"N",NA,"despite its intended simplicity, our assessment provides a wide spectrum of ias in a ranked order of priority and points to which species should be considered for risk assessment, to help implement regulation 1143/2014 effectively."
"7545","amaranthus albus","Amaranthus albus","GIAC2017","Argentina","N",NA,NA,NA,"Y","COORDS","the floristic variability of the riparian vegetation typical of streams from the austral pampas allowed us to distinguish eight floristic associations that were mostly composed by invasive species...these floristic associations showed significant differences in the physical properties of the soils (bulk density, sand, organic matter), and in vegetation sensitive properties such as, aboveground, litter and root biomasses."
"7546","amaranthus albus","Amaranthus albus","HEBE2017","China","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"7547","amaranthus albus","Amaranthus albus","LAZZ2020","Italy","Y","we adopted the regulation (eu) no. 1143/2014 definition of ias as those “whose introduction or spread has been found to threaten or adversely impact upon biodiversity and related ecosystem services”.",NA,NA,"Y","MAP","our data indicate that 84 out of 132 natura 2000 habitats (64%) are subjected to some degree of impact by invasive alien plants...although not exhaustive, this research is the first example of nationwide evaluation of the ecological impacts of invasive alien plants on plant communities and natura 2000 habitats."
"7548","amaranthus albus","Amaranthus albus","PROD2017","Serbia","Y","the most widely accepted definition of invasive species is the one advocated by the global environmental organisation iucn (international union for conservation of nature): ”an invasive alien species (ias) is a species that is established outside of its natural past or present distribution, whose introduction and/or spread threaten biological diversity” convention on biological diversity.",NA,NA,"Y","BOTH","a survey of ruderal plants was conducted in 2016 in the same location as one from 1995-1996. 386 species observed in the older survey were found in the new survey. in addition, 58 new species were found in the area, an increase of 13.06%. 38 of the total observed species are considered invasive."
"7549","amaranthus albus","Amaranthus albus","PUDD2016","France","Y","there are many ways alien plants can directly and indirectly menace the preservation of native flora. as regards; among other effects on biodiversity; it is reported that they can change ecosystems through the alteration of soil stability; the promotion of erosion; being vector of parasites and diseases; the colonization of free spaces; the exploitation of natural resources; the accumulation of litter; the promotion or suppression of fire and; together with the more or less massive human intervention; the homogenization of the floras (vitousek; 1990; richardson et al.; 2000; winter et al.; 2009).",NA,NA,"Y","COORDS","nevertheless; in light of the high proportion of alien entities that characterizes the flora of sardinia and corsica; it is reasonable to speak of a full-scale invasion. in this sense; although it is possible to lead back at least part of the competitive success of some alien taxa -linked to their ability to settle down in anthropic environments; it is undeniable that other natural habitats; such as wetlands and coastal areas; are particularly sensitive to the entry of alien and in particular invasive entities."
"7550","amaranthus albus","Amaranthus albus","PUDD2016","Italy","Y","there are many ways alien plants can directly and indirectly menace the preservation of native flora. as regards; among other effects on biodiversity; it is reported that they can change ecosystems through the alteration of soil stability; the promotion of erosion; being vector of parasites and diseases; the colonization of free spaces; the exploitation of natural resources; the accumulation of litter; the promotion or suppression of fire and; together with the more or less massive human intervention; the homogenization of the floras (vitousek; 1990; richardson et al.; 2000; winter et al.; 2009).",NA,NA,"Y","COORDS","nevertheless; in light of the high proportion of alien entities that characterizes the flora of sardinia and corsica; it is reasonable to speak of a full-scale invasion. in this sense; although it is possible to lead back at least part of the competitive success of some alien taxa -linked to their ability to settle down in anthropic environments; it is undeniable that other natural habitats; such as wetlands and coastal areas; are particularly sensitive to the entry of alien and in particular invasive entities."
"7551","amaranthus albus","Amaranthus albus","SENA2017","Russian Federation","Y","in the traditional sense, transformers include species that have penetrated into natural habitats and affect the cenotic associations in the community, changing their appearance, displacing local species, and often forming single-species thickets. such an interpretation is similar to the concepts of “edificator species” (sukachev, 1928) and “key species”...this group includes species naturalizing and actively  expanding in anthropogenic habitats...this group combines potentially invasive species, capable of renewal in places where they are introduced and have manifested themselves in adjacent regions as invasive species.",NA,NA,"Y","MAP","the number of alien species of plants with their participation in regional floras continues to increase, but the number of invasive species and especially “transformer” species is relatively low in numerical terms and mainly varies from 4 to 10...the triad of the most dangerous invasive species was designated—acer negundo l., bidens frondosa l., and elodea canadensis michx., which in almost all regions belong to the first category."
"7552","sisymbrium altissimum","Sisymbrium altissimum","ALLE1984","United States of America","N",NA,NA,NA,"N",NA,"success of the introduced species is attributed to (1) effective dispersal due to the tumbleweed habit, (2) deeper roots which may deplete soil moisture to the detriment of associated native species, and (3) temporal resource partitioning, where the introduced species maximize growth either earlier (c3 plants) or later (c4 plants) in the growing season than most of the native c3 species."
"7553","sisymbrium altissimum","Sisymbrium altissimum","ANDE2015A","United States of America","N",NA,NA,NA,"Y","COORDS","probability of occurrence of the eight focal invasive species was not significantly related to distance from the road, but declined with elevation. non-native species considered invasive occurred at lower minimum elevations than naturalized species."
"7554","sisymbrium altissimum","Sisymbrium altissimum","BERN2017","United States of America","N",NA,NA,NA,"Y","COORDS","the successional status of the plant communities found on benchlands within the canyon grasslands in our study area represented an early successional trajectory (e.g., early seral, very early seral, or annual grass dominated)...the classification of annual grass dominated was necessary because of the introduction of a relatively new invasive grass to the region, v. dubia."
"7555","sisymbrium altissimum","Sisymbrium altissimum","CZOR2020B","Poland","N",NA,NA,NA,"Y","MAP","we demonstrated that an increasing river net density had a positive impact on the functional richness and promoted the occurrence of native xerophytes, non-invasive archaeophytes and invasive kenophytes in urban parks. on the contrary, a higher contribution of settlements drove a decrease in the functional dispersion and had a negative impact on the frequency of deciduous forest species."
"7556","sisymbrium altissimum","Sisymbrium altissimum","ERNS2019","United States of America","N",NA,NA,NA,"Y","MAP","these results suggest tree thinning and removal in tree dominated woodlands can increase shrub and perennial grass cover and reduce litter and canopy gaps, especially in conjunction with seeding, but that tree recolonization over the long-term is inevitable."
"7557","sisymbrium altissimum","Sisymbrium altissimum","HEBE2017","China","N",NA,"Y","for example, because plant invaders often show performance advantages over co-occurring native species...and successful invaders tend to have wider physiological niches...some researchers have suggested invaders may be 'pre-adapted' for superior competitiveness or tolerance of environmental conditions as a consequence of their evolutionary history...","Y","MAP","our analysis of the naturalized and invasive plant species pools of two climatically similar regions confirmed a strong role for origin effects...the nature of which varied by region, habitat type and their interaction."
"7558","sisymbrium altissimum","Sisymbrium altissimum","KNAP2017","Germany","N",NA,NA,NA,"N",NA,"we showed that over three centuries of urbanization – one of the main drivers of land conversion – plant species richness increased but phylogenetic richness and divergence decreased. this evolutionary loss is mainly driven by the non-random extirpation of phylogenetically unique native species and the immigration of phylogenetically non-random common native and non-native species."
"7559","sisymbrium altissimum","Sisymbrium altissimum","KOTA1998","United States of America","N",NA,NA,NA,"Y","COORDS","our results indicate that disturbed sites currently are dominated by only a few groups of related exotic ruderals, while the ability to exploit roadsides and riparian zones has been and may continue to be important for the success of many taxa of invaders."
"7560","sisymbrium altissimum","Sisymbrium altissimum","MANI2014","United States of America","N",NA,NA,NA,"Y","MAP","our results provide details that can inform local efforts for management and control of invasive species, and they provide evidence of the different associations between natural patterns and human land use exhibited by nonnative species in this rural setting, such as the indirect effects of humans beyond impact areas."
"7561","sisymbrium altissimum","Sisymbrium altissimum","MILC2014","United States of America","N",NA,NA,NA,"Y","COORDS","grazing effects on particular functional groups and species were not the same across seral stages, were mixed in terms of speeding or slowing succession, and were generally not large at the community level. evolutionary history of grazing may serve as a general guide but decisions on whether to graze successional grasslands may best be made after assessing whether tolerant perennial short grass species are significant components."
"7562","sisymbrium altissimum","Sisymbrium altissimum","NEWM2014","Canada","N",NA,NA,NA,"Y","COORDS","despite some concerns, there is potential to use biosolids to restore grassland plant communities successfully within 4 or 5 yr on more mesic grassland sites; however, biosolids use on drier sites where exotic invasives are present cannot be recommended."
"7563","sisymbrium altissimum","Sisymbrium altissimum","ORTE2005","United States of America","N",NA,NA,NA,"N",NA,"the distinction between weak and strong invaders is important for reconciling conflicting results from previous studies of natural communities, and moving attention beyond the current debate surrounding the biotic resistance hypothesis."
"7564","sisymbrium altissimum","Sisymbrium altissimum","PREV2014A","United States of America","N",NA,NA,NA,"Y","COORDS","our results indicate that altering the seasonality of precipitation can have large direct effects on plant community composition and phenology, as well as significant indirect effects, mediated through exotic species, on plant available resources and plant interactions."
"7565","sisymbrium altissimum","Sisymbrium altissimum","SMIT2017","United States of America","Y","commonly known as tumbleweeds, the prolific seeding habits of these forbs make them successful invaders with the potential to outcompete native plants, especially in previously disturbed sites (yensen 1981). the combined invasion of the aforementioned species is responsible for the elimination of large areas of sagebrush-bunchgrass and mixed shrublands throughout the western united states (yensen 1981, knapp 1996, chambers 2008, litt and pearson 2013, reisner et al. 2013).",NA,NA,"Y","MAP","the researchers found that rodent species richness decreased with increasing invasive plant cover. however, rodent capture numbers increased initially with invasive plant cover but eventually reached a threshold and exhibited a negative response."
"7566","salsola kali","Salsola kali","ALLE1984","United States of America","N",NA,NA,NA,"N",NA,"success of the introduced species is attributed to (1) effective dispersal due to the tumbleweed habit, (2) deeper roots which may deplete soil moisture to the detriment of associated native species, and (3) temporal resource partitioning, where the introduced species maximize growth either earlier (c3 plants) or later (c4 plants) in the growing season than most of the native c3 species."
"7567","salsola kali","Salsola kali","ANDE2015A","United States of America","N",NA,NA,NA,"Y","COORDS","probability of occurrence of the eight focal invasive species was not significantly related to distance from the road, but declined with elevation. non-native species considered invasive occurred at lower minimum elevations than naturalized species."
"7568","salsola kali","Salsola kali","BARR2014B","Argentina","Y","a major threat to biodiversity conservation in many areas, including in many mountain ecosystems. they can outcompete native plants, as well as alter fire regimes, hydrological cycles, and soil conditions. impacts in mountains from non-native plant invasions include changing the dominant vegetation type from shrubs to trees, altering the tree line, changing habitat quality for animals, and competing with native species for pollinators; the term ''environmental weed'' is used to refer to non-native plants that can invade natural ecosystems and pose a threat to biodiversity conservation",NA,NA,"Y","BOTH","non-native plant diversity was low (21 species in the region, 16 species in the park). nearly all non-native plants were restricted to lower altitudes, with no non-natives found above 3420 masl. most non native plants were restricted to sites disturbed by tourism use, particularly areas trampled by hikers and pack animals, except for 2 common non-native species. this study highlights that even protected mountain areas with limited prior human use and nearly no road access can be invaded by non-native plants because of their popularity as mountaineer destinations"
"7569","salsola kali","Salsola kali","KALI2020",NA,"N",NA,NA,NA,"N",NA,"...our analysis shows that allelopathy is present in 72% of the 113 plant families surveyed, suggesting that this ubiquitous mechanism of invasion deserves more attention as invasion rates increase across the globe."
"7570","salsola kali","Salsola kali","MOUR2020",NA,"N",NA,NA,NA,"N",NA,"we suggest that the genetic variability provided by polyploidization has a positive impact on plant competitiveness, which may ultimately lead to an increased ability to colonize new environments. in a global warming scenario, integrative approaches using phenotypic, genetic, epigenetic, and ecological traits should be a productive route to unveil the aspects of invasive plants."
"7571","salsola kali","Salsola kali","SKIN2000","Canada","N",NA,NA,NA,"N",NA,"recommend that exploratory studies be initiated to determine the feasibility of developing biological control agents"
"7572","salsola kali","Salsola kali","SKIN2000","United States of America","N",NA,NA,NA,"N",NA,"recommend that exploratory studies be initiated to determine the feasibility of developing biological control agents"
"7573","salsola kali","Salsola kali","SMIT2017","United States of America","Y","commonly known as tumbleweeds, the prolific seeding habits of these forbs make them successful invaders with the potential to outcompete native plants, especially in previously disturbed sites (yensen 1981). the combined invasion of the aforementioned species is responsible for the elimination of large areas of sagebrush-bunchgrass and mixed shrublands throughout the western united states (yensen 1981, knapp 1996, chambers 2008, litt and pearson 2013, reisner et al. 2013).",NA,NA,"Y","MAP","the researchers found that rodent species richness decreased with increasing invasive plant cover. however, rodent capture numbers increased initially with invasive plant cover but eventually reached a threshold and exhibited a negative response."
"7574","salsola kali","Salsola kali","TAYL2014A","United States of America","Y","exotic annual grasses are particularly problematic as they augment fuel loads, recover rapidly post-fire and diminish community functioning and diversity",NA,NA,"Y","COORDS","all seeded treatments reduced exotic biomass by at least 90% relative to unseeded controls. soil microbial communities (phospholipid fatty acid analysis), beneath b. tectorum, poa secunda, and pseudoroegneria spicatamicrosites differed little 3 years after fire. however, microbial abundance beneath p. spicata increased from june to july, suggesting that microbial communities beneath successful seedings can vary greatly within a single growing season."
"7575","salsola kali","Salsola kali","ZENG2017","South Africa","N",NA,NA,NA,"N",NA,"the majority of invasive alien species listed in the a&is regulations were not considered to be conflict-generating. however, the small proportion of species identified as conflict-generating hold the potential to negatively impact the future efficiency of conservation management in south africa by forcing regulators and managers to spend great amounts of time and resources addressing stakeholder complaints and concerns instead of discharging their duties in dealing with the species that do not generate controversy."
"7576","amaranthus graecizans","Amaranthus graecizans","ALLE1984","United States of America","N",NA,"N",NA,"N",NA,"success of the introduced species is attributed to (1) effective dispersal due to the tumbleweed habit, (2) deeper roots which may deplete soil moisture to the detriment of associated native species, and (3) temporal resource partitioning, where the introduced species maximize growth either earlier (c3 plants) or later (c4 plants) in the growing season than most of the native c3 species."
"7577","amaranthus graecizans","Amaranthus graecizans","LAZZ2020","Italy","Y","we adopted the regulation (eu) no. 1143/2014 definition of ias as those “whose introduction or spread has been found to threaten or adversely impact upon biodiversity and related ecosystem services”.",NA,NA,"Y","MAP","our data indicate that 84 out of 132 natura 2000 habitats (64%) are subjected to some degree of impact by invasive alien plants...although not exhaustive, this research is the first example of nationwide evaluation of the ecological impacts of invasive alien plants on plant communities and natura 2000 habitats."
"7578","salsola collina","Salsola collina","ALLE1984","United States of America","N",NA,"N",NA,"N",NA,"success of the introduced species is attributed to (1) effective dispersal due to the tumbleweed habit, (2) deeper roots which may deplete soil moisture to the detriment of associated native species, and (3) temporal resource partitioning, where the introduced species maximize growth either earlier (c3 plants) or later (c4 plants) in the growing season than most of the native c3 species."
"7579","pinus contorta","Pinus contorta","ALLE1989","New Zealand","N",NA,NA,NA,"N",NA,"favourable microsites for conifer establishment had sparse, low-growing intertussock vegetation over bare soil or bryophytes."
"7580","pinus contorta","Pinus contorta","BRAV2016","Chile","Y","thus; woody invasive species have the potential to have a major detrimental effect on ecosystem functioning not only through a reduction in biodiversity but also through a change in functional diversity.",NA,NA,"Y","COORDS","we conclude that the negative impacts of pinus contorta into the treeless steppe; including a reduction in the number of species and the shifting to traits adapted to tolerate shade and associated with conservative reproductive strategies; can have severe implications for the conservation of biodiversity and ecosystem functioning where it invades."
"7581","pinus contorta","Pinus contorta","BROC2016","New Zealand","Y","several pine species are now considered environmental weeds in new zealand and other southern hemisphere countries (richardson and higgins 1998; rundel et al. 2014). in some regions of new zealand; pines have invaded natural or semi-natural grassland and scrub communities (ledgard 1998).",NA,NA,"N",NA,"our review identified several species that could play a role in the epidemiology of the disease in new zealand; as wounding agents or carriers of the pathogen; but no insects appear to be present that could act as effective vectors. against this background; the proposed introduction of biocontrol agents against invasive pinus contorta or other pines has been deemed too risky; mainly because of the pitch canker pathogen vectoring issue (dick and bain 2004)."
"7582","pinus contorta","Pinus contorta","CELI2019","United States of America","N",NA,NA,NA,"Y","COORDS","our results reveal strong, nonlinear relationships of flowering in time (most rapid early in the invasion process) and space (steepest at the forest edge). in a landscape dominated by forests, conifer invasion of mountain meadows can reduce the local and larger-scale diversity of plants and their insect pollinators."
"7583","pinus contorta","Pinus contorta","COBA2014","Ireland","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7584","pinus contorta","Pinus contorta","COBA2014","Chile","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7585","pinus contorta","Pinus contorta","COBA2014","Australia","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7586","pinus contorta","Pinus contorta","COBA2014","New Zealand","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7587","pinus contorta","Pinus contorta","COBA2014","Argentina","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7588","pinus contorta","Pinus contorta","COBA2014","Sweden","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7589","pinus contorta","Pinus contorta","COBA2014","United Kingdom of Great Britain and Northern Ireland","Y","invasive plants modify fuel through changes in fuel load, phenology of plants by altering light availability, flammability by volatile chemicals, and a new spatial arrangement of fuel",NA,NA,"Y","BOTH","the invasion of p.contorta in the malalcahuello reserve is under progression and if the process of invasion continues the effects on fuel characteristics will increase. these results suggest that wildfires will be more intense and severe, and that the type of fires of the malalcahuello reserve will change from a mixed fire regime to a crown fire regime."
"7590","pinus contorta","Pinus contorta","CRYS2020B",NA,"N",NA,NA,NA,"N",NA,"our results provide compelling evidence that there are a variety of 'known unknowns' in regards to the empirical evidence base that is available to inform impact hypotheses."
"7591","pinus contorta","Pinus contorta","DAMG2019","Denmark","N",NA,NA,NA,"N",NA,"the frequency of invasive higher plant species has not stabilized and is still increasing in some or several danish habitat types. furthermore, trend analyses of a selected subset of invasive plant species may serve as an important early warning signal that may be used in the management of ecosystems."
"7592","pinus contorta","Pinus contorta","DEHL2008","New Zealand","Y","non-native, invasive plant species can have important effects on both the aboveground and belowground components of terrestrial ecosystems, as well as on ecosystem functioning.",NA,NA,"Y","COORDS","invasion and domination of new landscapes by these species is likely to result in fundamental shifts in community- and ecosystem-level properties relative to those under native forest cover."
"7593","pinus contorta","Pinus contorta","DICK2014","New Zealand","Y","invasive plants also have major belowground effects, by changing soil biota and altering biogeochemical processes.",NA,NA,"Y","COORDS","our findings demonstrate that multi-trophic below ground legacies are an important but hitherto largely unconsidered factor in plant community reassembly following invasive plant removal."
"7594","pinus contorta","Pinus contorta","FAJA2018","Chile","N",NA,NA,NA,"Y","COORDS","in this study we show that both native and exotic (including invasive) species richness were mainly affected by the same driver, canopy cover type."
"7595","pinus contorta","Pinus contorta","GUND2014A","New Zealand","Y","pinus contorta is a non-trivial invader, meaning it has substantial impacts in some of the regions it invades. pinus contorta has been shown to compete with endangered native species (e.g. araucaria araucana) and reduce the diversity and abundance of native plants",NA,NA,"N",NA,"we propose that identifying model species with these characteristics will provide opportunities to disentangle the relative importance of different mechanisms hypothesized to influence invasion success, and thereby advance the field of invasion ecology."
"7596","pinus contorta","Pinus contorta","GUND2014A","Sweden","Y","pinus contorta is a non-trivial invader, meaning it has substantial impacts in some of the regions it invades. pinus contorta has been shown to compete with endangered native species (e.g. araucaria araucana) and reduce the diversity and abundance of native plants",NA,NA,"N",NA,"we propose that identifying model species with these characteristics will provide opportunities to disentangle the relative importance of different mechanisms hypothesized to influence invasion success, and thereby advance the field of invasion ecology."
