"","plant_id","active_growth_period","bloat","c_n_ratio","coppice_potential","fall_conspicuous","fire_resistant","flower_color","flower_conspicuous","foliage_color","foliage_porosity_summer","foliage_porosity_winter","foliage_texture","fruit_seed_color","fruit_seed_conspicuous","growth_form","growth_rate","height_at_20_years_maximum_feet","height_mature_feet","known_allelopath","leaf_retention","lifespan","low_growing_grass","nitrogen_fixation","resprout_ability","shape_and_orientation","toxicity","adapted_to_coarse_textured_soils","adapted_to_fine_textured_soils","adapted_to_medium_textured_soils","anaerobic_tolerance","caco_3_tolerance","cold_stratification_required","drought_tolerance","fertility_requirement","fire_tolerance","frost_free_days_minimum","hedge_tolerance","moisture_use","ph_maximum","ph_minimum","planting_density_per_acre_maximum","planting_density_per_acre_minimum","precipitation_maximum","precipitation_minimum","root_depth_minimum","salinity_tolerance","shade_tolerance","temperature_minimum_f","bloom_period","commercial_availability","fruit_seed_abundance","fruit_seed_period_begin","fruit_seed_period_end","fruit_seed_persistence","propagated_by_bare_root","propagated_by_bulb","propagated_by_container","propagated_by_corm","propagated_by_cuttings","propagated_by_seed","propagated_by_sod","propagated_by_sprigs","propagated_by_tubers","seed_per_pound","seed_spread_rate","seedling_vigor","small_grain","vegetative_spread_rate","berry_nut_seed_product","christmas_tree_product","fodder_product","fuelwood_product","lumber_product","naval_store_product","nursery_stock_product","palatable_browse_animal","palatable_human","post_product","pulpwood_product","veneer_product","Name_submitted","Accepted_name","symbol"
"651",21453,"Summer and Fall","None","Medium","No","No","Yes","Yellow","No","Green","Porous","Porous","Medium","Brown","No","Stoloniferous","Rapid",NA,"1.5","Yes","No","Moderate","Yes","None","No","Prostrate","None","Yes","Yes","Yes","Medium","Medium","No","Medium","High","High","225","None","Medium",8,6,"125000","43560","60","36","14","Medium","Intolerant","22","Mid Spring","Routinely Available","Low","Summer","Summer","No","No","No","No","No","No","Yes","Yes","Yes","No","2071120","Slow","Low","No","Rapid","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Cynodon dactylon","Cynodon dactylon","CYDA"
"652",18588,"Summer and Fall","None","Medium","No","No","No","Green","No","Dark Green","Moderate","Porous","Coarse","White","No","Bunch","Rapid",NA,"2.5","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","Medium","Medium","No","Medium","Low","Low","90","None","Medium",6.5,5,"11000","4800","50","14","10","None","Intolerant","37","Mid Summer","Contracting Only","High","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Moderate","Medium","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus erythrorhizos","Cyperus erythrorhizos","CYER2"
"653",18590,"Summer and Fall","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Yellow","No","Rhizomatous","Rapid",NA,"0.7","No","No","Short","No","None","No","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","Yes","Medium","Medium","Low","90","None","Low",7,5,"18000","11000","55","14","10","Low","Intolerant","42","Mid Summer","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No","3489173","Slow","Low","No","Rapid","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus esculentus","Cyperus esculentus","CYES"
"654",18609,"Summer and Fall","None","Medium","No","No","No","Red","No","Green","Porous","Porous","Fine","Black","No","Bunch","Rapid",NA,"2.0","No","No",NA,"No","None","No","Erect","None","Yes","No","Yes","Medium","Medium","No","Low","Medium","Low","90","None","Medium",7,5,"18000","11000","55","24","8","None","Intolerant","42","Late Summer","No Known Source","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus flavescens","Cyperus flavescens","CYFL"
"655",18634,"Spring","None","High","No","No","Yes","Brown","No","Green","Moderate","Porous","Medium","White","Yes","Bunch","Moderate",NA,"3.2","No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","No","Low","Medium","Medium","230","None","Medium",7.5,4.5,"4800","3500","60","35","16","High","Intolerant","7","Late Spring","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Slow","Medium","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus haspan","Cyperus haspan","CYHA"
"656",18671,"Summer and Fall","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,"3.1","No","No","Moderate","No","None","No","Erect","None","Yes","No","Yes","Low","Medium","No","Low","Medium","High","165","None","Low",7,5,"4800","1700","55","32","12","None","Intolerant","7","Late Summer","No Known Source","Medium","Summer","Fall","Yes","Yes","No","No","Yes","No","No","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus lancastriensis","Cyperus lancastriensis","CYLA3"
"657",89635,"Summer","None",NA,"No","Yes","No","White","Yes","Green","Porous","Porous","Coarse","Yellow","Yes","Single Stem","Slow","16","16.0","No","No","Moderate","No","None","No","Oval","None","Yes","No","Yes","None","Low","No","Low","Low","Low","120",NA,"Medium",6.5,5,"1500","500","60","24","30","None","Intolerant","-23","Spring","Routinely Available","Low","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",NA,"Slow","Medium","No","None","Yes","No","No",NA,"No","No","No",NA,"Yes","No","No","No","Cydonia oblonga","Cydonia oblonga","CYOB2"
"658",18714,"Summer and Fall","None","Medium","No","No","No","Brown","No","Green","Moderate","Porous","Fine","Black","No","Bunch","Moderate",NA,"2.0","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","Medium","Medium","No","Low","Medium","None","80","None","Medium",8.3,5,"4800","3450","55","18","8","Medium","Intolerant","42","Late Summer","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Moderate","High","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus odoratus","Cyperus odoratus","CYOD"
"659",18756,"Spring and Fall","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,"1.6","No","No","Short","No","None","No","Semi-Erect","None","Yes","Yes","Yes","Medium","Low","No","Low","Low","None","100","None","Medium",6.5,4.5,"4800","3450","55","32","8","Low","Intolerant","47","Mid Summer","No Known Source","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Moderate","Low","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus polystachyos","Cyperus polystachyos","CYPO"
"660",18772,"Spring, Summer, Fall","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Black","No","Bunch","Moderate",NA,"2.5","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","High","Low","No","None","Medium","High","175","None","High",6.8,4.6,"4800","1700","55","30","10","None","Intolerant","7","Late Spring","No Known Source","Medium","Summer","Fall","Yes","Yes","No","No","No","No","No","No","Yes","No",NA,"Slow","Medium","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus pseudovegetus","Cyperus pseudovegetus","CYPS"
"661",64799,"Spring and Summer","None","High","No","Yes","No","Yellow","Yes","Yellow-Green","Moderate","Porous","Coarse","Brown","No","Thicket Forming","Moderate","20","30.0","No","Yes","Short","No","None","Yes","Erect",NA,"Yes","Yes","Yes","High","Low","Yes","Low","High","Medium","218",NA,NA,6.8,4.9,"1280","320","70","40","24","Low","Tolerant","-6","Mid Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","Yes","Yes","No","No","No",NA,"Rapid","Medium","No","Moderate","No","No","No","Low","No","No","No","High","No","No","No","No","Cyrilla racemiflora","Cyrilla racemiflora","CYRA"
"662",78714,"Spring and Summer","None","Low","No","No","No","Yellow","Yes","Green","Dense","Moderate","Medium","Black","No","Multiple Stem","Rapid","7","7.0","No","No","Moderate","No","High","No","Erect","None","Yes","Yes","Yes","None","Medium","No","High","Medium","High","150","Low","Low",7,5.5,"2700","1200","60","30","16","Low","Intolerant","-13","Spring","Routinely Available","High","Spring","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No","57000","Rapid","High","No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Cytisus scoparius","Cytisus scoparius","CYSC4"
"663",18835,"Spring","None","High","No","No","Yes","Brown","No","Green","Moderate","Porous","Fine","Red","Yes","Bunch","Moderate",NA,"3.2","No","No","Long","No","None","No","Erect","None","No","Yes","Yes","Medium","Medium","No","Low","Medium","Medium","100","None","Medium",7,6.4,"4800","3450","60","16","16","None","Intolerant","-33","Summer","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","No","No","Yes","No",NA,"Moderate","Medium","No","Slow","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Cyperus strigosus","Cyperus strigosus","CYST"
"664",15757,"Spring and Summer","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,"1.5","No","No","Short","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","None","Low","Low","120","None","High",7.8,5.8,"4800","2700","18","12","8","None","Intolerant","-23","Mid Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No","360000","Slow","Low","No","Slow","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Damasonium californicum","Damasonium californicum","DACA12"
"665",21502,"Fall, Winter and Spring","None",NA,"No","No","Yes",NA,"No","Green","Porous","Porous","Fine","Brown","No","Multiple Stem","Moderate",NA,"2.0","No","No","Short","Yes","None","No","Erect","None","No","Yes","Yes","None","Medium","No","Medium","Low","High","90","None","Medium",7,6,NA,NA,"40","6","16","Low","Intolerant","17","Early Spring","Routinely Available","Medium","Spring","Spring","No","No","No","No","No","No","Yes","No","No","No","40000","Moderate","High","No","Moderate","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Danthonia californica","Danthonia californica","DACA3"
"666",78766,"Spring and Summer","Low","Medium","No","No","No","White","No","Green","Porous","Porous","Coarse","Brown","No","Multiple Stem","Moderate",NA,"2.0","No","No","Short","No","High","No","Decumbent","Slight","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Medium","90",NA,"Medium",8,6,NA,NA,"20","12","14","Low","Intermediate","-38","Mid Summer","Routinely Available","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","278000","Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","High","No","No","No","No","Dalea candida","Dalea candida","DACAC"
"667",21508,"Spring","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,"2.4","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","No","Medium","Low","High","90","None","Medium",7,4.8,NA,NA,"55","32","10","None","Tolerant","-33","Late Spring","No Known Source","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","450000","Moderate","Medium","No","None","No","No","No",NA,"No","No","No","Low","No","No","No","No","Danthonia compressa","Danthonia compressa","DACO"
"668",93120,"Spring, Summer, Fall","None","High","No","No","No","Green","No","Green","Dense","Porous","Fine","Brown","No","Single Stem","Slow","28","115.0","No","No","Long","No","None","No","Erect","None","No","Yes","No","None","None","No","Low","Low","Low","365","None","Medium",5.5,4.5,"300","170","160","79","42","None","Intermediate","50","Early Summer","No Known Source","Low","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No","27","Slow","Low","No","None","No","No","No","Low","Yes","No","No",NA,"No","No","No","No","Dacryodes excelsa","Dacryodes excelsa","DAEX"
"669",78813,"Spring, Summer, Fall","None","Medium","No","Yes","No","Purple","Yes","Gray-Green","Dense","Moderate","Fine","Brown","No","Multiple Stem","Slow","3","3.0","No","No","Long","No","Medium","Yes","Semi-Erect","None","Yes","No","Yes","None","Medium","No","High","Low","Medium","160","None","Low",7.5,5.5,"1200","700","20","12","16","Medium","Intolerant","-13","Indeterminate","Contracting Only","Medium","Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",NA,"Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Dalea formosa","Dalea formosa","DAFO"
"670",89644,"Spring and Summer","None","High","No","No","No","Yellow","Yes","Green","Moderate","Porous","Coarse",NA,"No","Multiple Stem","Slow",NA,"2.5","No","No","Long","No","None","Yes","Rounded","None","Yes","Yes","Yes","None","Medium","Yes","Low","Medium","Low","180","Low","Low",8,5,"4800","1700","40","16","18","Medium","Intermediate","-28","Indeterminate","Routinely Available","Medium","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No","1000000","Slow","Low","No","Slow","No","No","No",NA,"No","No","Yes","Medium","No","No","No","No","Dasiphora fruticosa","Dasiphora fruticosa","DAFRF"
"671",21475,"Spring and Fall","None","Medium","No","No","No","Yellow","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Rapid",NA,"4.0","No","No","Moderate","No","None","No","Semi-Erect","None","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Medium","180","None","Medium",8.4,5.8,NA,NA,"65","32","14","Medium","Tolerant","7","Mid Spring","Routinely Available","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","427200","Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Dactylis glomerata","Dactylis glomerata","DAGL"
"672",21515,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Medium","Brown","No","Bunch","Moderate",NA,"1.5","No","No","Short","Yes","None","No","Erect","None","Yes","No","No","None","Medium","No","Medium","Low","High","80","None","Low",7.8,6,NA,NA,"20","6","8","Medium","Intermediate","-33","Late Spring","Routinely Available","High","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","373000","Moderate","Medium","No","None","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Danthonia intermedia","Danthonia intermedia","DAIN"
"673",78888,"Spring and Summer","Low","Medium","No","No","No","Purple","Yes","Green","Porous","Porous","Coarse","Brown","No","Multiple Stem","Moderate",NA,"3.0","No","No","Moderate","No","Low","No","Erect","None","Yes","Yes","Yes","None","Medium","Yes","Medium","Medium","Medium","120","None","Medium",8,6,NA,NA,"24","16","16","None","Intolerant","-38","Summer","Routinely Available","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","317000","Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","Medium","No","No","No","No","Dalea purpurea","Dalea purpurea","DAPUP"
"674",21524,"Spring and Summer","None","Low","No","No","Yes","Green","No","Green","Porous","Porous","Fine","Brown","Yes","Single Crown","Rapid",NA,"0.8","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","None","Medium","No","High","Low","Low","200","Medium","Low",8,6,NA,NA,"155","12","6","None","Intolerant","-26","Early Summer","Contracting Only","High","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","400000","Rapid","High","No","None","No","No","No",NA,"No","No","No","Medium","No","No","No","No","Danthonia unispicata","Danthonia unispicata","DAUN"
"675",28454,"Spring and Summer","None","High","No","Yes","No","White","Yes","Dark Green","Porous","Porous","Coarse","Brown","No","Single Crown","Slow","10","15.0","No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","No","Yes","None","Medium","No","High","Low","Low","300","None","Low",9,6.6,"2700","1200","14","6","24","Low","Intolerant","27","Mid Spring","Contracting Only","Low","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","Yes","No",NA,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No",NA,"Yes","No","No","No","Dasylirion wheeleri","Dasylirion wheeleri","DAWH2"
"676",72905,"Spring and Summer","None","Medium","No","No","No","Purple","Yes","Green","Porous","Porous","Medium","Brown","No","Single Crown","Moderate",NA,"2.0","No","No","Moderate","No","None","No","Erect","Slight","Yes","No","No","None","Medium","No","High","Low","Low","145","None","Low",8,6,NA,NA,"24","14","14","None","Tolerant","-18","Mid Spring","No Known Source","Medium","Spring","Spring","No","No","No","No","No","No","Yes","No","No","No","12000","Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","No","No","No","No","Delphinium andersonii","Delphinium andersonii","DEAN"
"677",21544,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Dense","Porous","Coarse","Brown","No","Bunch","Moderate",NA,"3.2","No","No","Long","No","None","No","Erect","None","No","No","Yes","High","High","No","Low","Medium","High","120","None","High",7.2,5.5,NA,NA,"60","35","16","High","Intolerant","-23","Mid Spring","Routinely Available","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","1200000","Slow","Medium","No","None","No","No","No",NA,"No","No","No","Low","No","No","No","No","Deschampsia beringensis","Deschampsia cespitosa subsp. cespitosa","DEBE2"
"678",21550,"Summer and Fall","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Medium","Brown","No","Bunch","Moderate",NA,"3.4","No","No","Moderate","No","None","No","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","No","Low","Medium","High","80","None","Low",7.5,5.5,NA,NA,"60","14","8","None","Intolerant","-43","Mid Summer","Routinely Available","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","1500000","Slow","Medium","No","None","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Deschampsia cespitosa","Deschampsia cespitosa","DECE"
"679",21596,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Fine","Brown","No","Bunch","Moderate",NA,"1.5","No","No",NA,"No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Medium","Low","High","145","None","Medium",7.2,5.8,NA,NA,"30","12","6","None","Intermediate","52","Mid Spring","Routinely Available","High","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","1000000","Moderate","High","No","None","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Deschampsia danthonioides","Deschampsia danthonioides","DEDA"
"680",21600,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Coarse","Brown","No","Bunch","Moderate",NA,"3.0","No","No","Short","Yes","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","No","Medium","Low","High","90","None","Low",7.8,6,NA,NA,"24","10","8","Medium","Intolerant","-38","Late Spring","Routinely Available","High","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","1860000","Moderate","Medium","No","Moderate","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Deschampsia elongata","Deschampsia elongata","DEEL"
"681",21602,"Spring and Summer","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Fine","Brown","No","Bunch","Moderate",NA,"2.6","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","None","Medium","No","Medium","Low","High","80","None","Medium",6.8,4.8,NA,NA,"55","32","8","None","Tolerant","-38","Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","668000","Slow","High","No","None","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Deschampsia flexuosa","Avenella flexuosa","DEFL"
"682",72977,"Spring and Summer","None","Medium","No","No","No","Purple","Yes","Green","Moderate","Porous","Medium","Black","Yes","Multiple Stem","Rapid",NA,"8.0","No","No","Short","No","None","No","Erect","Severe","Yes","Yes","Yes","Medium","Medium","Yes","None","High","None","120","High","High",7,5.6,NA,NA,"125","55","6","None","Tolerant","-28","Early Spring","Routinely Available","High","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","13000","Rapid","High","No","None","No","No","No",NA,"No","No","Yes","High","No","No","No","No","Delphinium glaucum","Delphinium glaucum","DEGL3"
"683",88379,"Spring and Summer","None","High","No","No","No","White","Yes","Green","Dense","Porous","Medium",NA,"Yes","Multiple Stem","Moderate","3","3.0","No","No","Moderate","No","None","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","Low","Medium","High","140","High","Medium",7,5,"2700","1700","55","35","14","None","Intermediate","-23","Mid Spring","Routinely Available",NA,"Spring","Summer","No","Yes","No","Yes","No","Yes","No","No","No","No",NA,NA,NA,"No","None","No","No","No",NA,"No","No","Yes","Low","No","No","No","No","Deutzia gracilis","Deutzia gracilis","DEGR3"
"684",79057,"Summer","Medium","Low","No","No","No","Red","No","Red","Porous","Moderate","Medium","Brown","No","Stoloniferous","Rapid","1","0.5","No","Yes","Short","No","Low","Yes","Prostrate","None","Yes","No","No","Low","High","No","None","Medium","None","365","High","Medium",7,5,"20000","5120","59","16","12","None","Tolerant","12","Summer","Routinely Available","High","Spring","Fall","No","No","No","No","No","Yes","Yes","Yes","Yes","No","465466","Rapid","High","No","Rapid","Yes","No","Yes",NA,"No","No","No","High","No","No","No","No","Desmodium heterophyllum","Grona heterophylla","DEHE9"
"685",78950,"Spring and Summer","None","Medium","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Multiple Stem","Moderate",NA,"3.0","No","No","Long","No","Low","No","Erect","None","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Low","130","None","Medium",8,5,NA,NA,"24","16","12","None","Intolerant","-18","Early Summer","Routinely Available","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","85000","Slow","High","No","None","No","No","No",NA,"No","No","No","High","No","No","No","No","Desmanthus illinoensis","Desmanthus illinoensis","DEIL"
"686",79063,"Year Round","None","Low","No","No","No","Purple","Yes","Green","Dense","Dense","Medium","Brown","No","Single Stem","Moderate",NA,"3.0","No","Yes","Long","No","High","No","Decumbent","None","Yes","Yes","Yes","None","Medium","No","Medium","Medium","Medium","365","Medium","Medium",7.1,4.5,"40000","1000","159","21","12","None","Intermediate","32","Indeterminate","Routinely Available","Medium","Spring","Spring","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","340000","Moderate","Medium","No","Slow","No","No","Yes",NA,"No","No","No","High","No","No","No","No","Desmodium intortum","Desmodium intortum","DEIN2"
"687",79065,"Spring","Medium","Low","Yes","No","No","Purple","Yes","Green","Moderate","Dense","Medium","Brown","No","Stoloniferous","Moderate","10","4.0","No","Yes","Short","No","Low","Yes","Semi-Erect","Slight","Yes","Yes","No","None","Medium","No","High","Low","Low","269","High","Medium",7,5,"1280","320","118","39","12","None","Intolerant","6","Indeterminate","Routinely Available","High",NA,NA,"No","No","No","No","No","Yes","Yes","Yes","Yes","No","465466","Rapid","High","No","Rapid","Yes","No","Yes",NA,"No","No","No","High","No","No","No","No","Desmodium incanum","Desmodium incanum","DEIN3"
"688",79106,"Spring and Summer","Low","Low","No","Yes","No","Purple","Yes","Green","Moderate","Porous","Medium","Brown","Yes","Single Crown","Moderate",NA,"3.0","No","No","Moderate","No","Low","No","Erect","None","No","Yes","Yes","None","None","No","Medium","Low","None","180","None","Low",7,6,NA,NA,"90","45","6","None","Intermediate","-13","Late Summer","No Known Source","High","Fall","Fall","Yes","No","No","No","No","No","Yes","No","No","No","200000","Rapid","High","No","None","No","No","No",NA,"No","No","No","Medium","No","No","No","No","Desmodium paniculatum","Desmodium paniculatum","DEPA6"
"689",79117,"Summer","None","Medium","No","No","Yes","White","No","Green","Moderate","Moderate","Fine","Brown","No","Colonizing","Rapid",NA,"4.0","No","No","Short","No","Low","No","Erect","None","Yes","Yes","Yes","Medium","Low","No","Low","Low","High","90","None","Medium",7,5.6,NA,NA,"60","20","12","Low","Intermediate","-33","Summer","No Known Source","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","200000","Moderate","High","No","Rapid","No","No","No",NA,"No","No","No","Medium","No","No","No","No","Desmodium perplexum","Desmodium perplexum","DEPE80"
"690",78933,"Year Round","None","High","No","No","No","Orange","Yes","Green","Dense","Porous","Fine","Black","Yes","Multiple Stem","Rapid","50","50.0","No","No","Moderate","No","Low","Yes","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","No","Medium","Low","None","365","Low","Medium",7,4,"300","170","100","40","60","Medium","Intermediate","31","Early Summer","Routinely Available","High","Year Round","Year Round","No","No","No","Yes","No","No","Yes","No","No","No","900","Moderate",NA,"No","Slow","No","No","No","Medium","No","No","Yes",NA,"No","No","No","No","Delonix regia","Delonix regia","DERE"
"691",79162,"Spring and Summer","Low","Low","No","No","No","Blue","Yes","Green","Moderate",NA,"Medium","Brown","Yes","Single Crown","Rapid",NA,"9.0","No","No","Moderate","No","Low","No","Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","Low","120","None","Low",7.2,5,NA,NA,"80","20","6","None","Intolerant","17","Summer","No Known Source","High","Fall","Winter","Yes","No","No","No","No","No","Yes","No","No","No","200640","Rapid","High","No","None","No","No","No",NA,"No","No","No","Low","No","No","No","No","Desmodium tortuosum","Desmodium tortuosum","DETO"
"692",79167,"Summer","Medium","Low","No","No","No","Purple","No","Green","Moderate","Porous","Medium",NA,"No","Multiple Stem",NA,NA,"1.0","No","No","Short","No","Low","No","Prostrate","Slight","Yes","No","No","None",NA,"No","High","Medium","None","294","High",NA,6,5,"20000","5120","70","17","12","None","Intermediate","16",NA,NA,NA,NA,NA,"No","No","No","No","No","No","Yes","No","No","No","465466",NA,"High","No",NA,"No","No","Yes",NA,"No","No","No","Low","Yes","No","No","No","Desmodium triflorum","Grona heterophylla","DETR4"
"693",84380,"Summer and Fall","None","High","No","No","No","Red","Yes","Green","Dense","Moderate","Coarse","Brown","No","Colonizing","Rapid",NA,"8.0","No","No","Long","No","None","Yes","Erect","None","Yes","Yes","Yes","High","Medium","No","None","Medium","High","145","None","High",8.6,4.9,"1700","1200","60","30","10","None","Intermediate","-23","Mid Summer","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","Yes","Yes","No","No","No",NA,"Slow","Medium","No","Rapid","No","No","No",NA,"No","No","No",NA,"No","No","No","No","Decodon verticillatus","Decodon verticillatus","DEVE"
"694",78963,"Spring and Summer","None","Low","No","Yes","No","White","No","Yellow-Green","Dense","Dense","Fine","Brown","Yes","Multiple Stem","Slow",NA,"2.0","No","Yes","Moderate","No","Medium","Yes","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","No","High","Medium","Low","365","Low","Low",8,5,"1200","700","80","30","24","Medium","Tolerant","17","Indeterminate","Routinely Available","Low","Year Round","Year Round","Yes","No","No","No","No","No","Yes","No","No","No","340000","Moderate","High","No","Slow","No","No","No",NA,"No","No","No","High","No","No","No","No","Desmanthus virgatus","Desmanthus virgatus","DEVI3"
"695",21634,"Summer","None",NA,"No","No","No","Green","No","Gray-Green","Porous","Porous","Fine","Yellow","No","Bunch","Rapid",NA,"1.6","No","No","Short","No","None","No","Erect","None","Yes","No","Yes","None","Low","No","High","Low","Low","200","None","Low",6.5,4,NA,NA,"60","30","4","None","Intermediate","2","Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No","381000","Slow","Medium","No","None","No","No","No",NA,"No","No","No","Medium","No","No","No","No","Dichanthelium aciculare","Dichanthelium aciculare","DIAC"
"696",22007,"Spring and Summer","None","Medium","No","Yes","Yes","Yellow","No","Green","Moderate","Moderate","Fine","Black","No","Colonizing","Rapid",NA,"3.0","No","No","Moderate","Yes","None","No","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","Low","High","High","120","None","Medium",7,5.5,NA,NA,"60","24","18","Low","Intolerant","17","Late Spring","Routinely Available","High","Spring","Fall","No","No","No","No","No","No","Yes","No","No","No","1409000","Moderate","High","No","Rapid","No","No","Yes",NA,"No","No","No","Low","No","No","No","No","Dichanthium annulatum","Dichanthium annulatum","DIAN"
