"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"365","Carex atlantica","Carex atlantica","CAAT4",NA,"CAAT4","NA (L48, CAN)","CAN(NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Bunch","Moderate",NA,2,"No","No","Long","No","None","No","Semi-Erect","None","No","Yes","Yes","High","Low","No","None","Medium","High",130,"None","High",4.5,6,2700,4800,40,55,12,"Low","Intermediate",-18,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"366","Carex aurea","Carex aurea","CAAU3",NA,"CAAU3","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, AZ, CA, CO, CT, ID, IL, IN, KS, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TX, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Rhizomatous","Slow",NA,1,"No","No","Long","No","None","No","Erect","None","Yes","Yes","No","High","Low","Yes","None","Low","High",85,"None","High",5.5,7.2,1700,4800,14,40,8,"None","Intermediate",-33,"Late Spring","Routinely Available","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"367","Carex baileyi","Carex baileyi","CABA7",NA,"CABA7","NA (L48, CAN)","CAN(QC), USA(AR, CT, IL, KY, MA, MD, ME, NC, NH, NY, PA, TN, VA, VT, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","None","Medium","High",85,"None","High",4.8,7,2700,4800,13,55,8,"None","Tolerant",-33,"Late Spring","Contracting Only","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"368","Carex bebbii","Carex bebbii","CABE2",NA,"CABE2","NA (L48, AK, CAN, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,3,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","None","Medium","High",80,"None","High",4.6,7,2700,4800,14,55,8,"None","Tolerant",-38,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"369","Carex bella","Carex bella","CABE3",NA,"CABE3","NA (L48)","USA(AZ, CO, NM, NV, SD, UT)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Slow",NA,2,"No","No","Long","No","None","No","Erect","None","Yes","Yes","No","High","Low","Yes","None","Low","High",120,"None","High",6,7.5,1700,4800,10,40,8,"None","Intermediate",-18,"Late Spring","No Known Source","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"370","Carex bicknellii","Carex bicknellii","CABI3",NA,"CABI3","NA (L48, CAN)","CAN(MB, ON), USA(AR, CT, DE, IA, IL, IN, KS, MA, ME, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TX, VT, WI)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Moderate",NA,3,"No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Low","Low","No","Medium","Low","High",85,"None","Low",4.5,6.6,2700,4800,14,55,8,"None","Tolerant",-38,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"371","Carex bigelowii","Carex bigelowii","CABI5",NA,"CABI5","NA (L48, AK, CAN, GL)","CAN(LB, MB, NB, NF, NT, NU, ON, QC, SK), DEN(GL), USA(AK, CO, ID, ME, MT, NH, NY, VT, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)","Yes","Summer and Fall","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Stoloniferous","Moderate",NA,0,"No","No","Long","No","None","No","Erect","None","Yes","Yes","No","Medium","Low","No","Low","Low","High",80,"None","Medium",4.8,6.4,4800,11000,36,55,6,"None","Intermediate",-43,"Mid Summer","No Known Source","Low","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"372","Carex blanda","Carex blanda","CABL",NA,"CABL","NA (L48, CAN)","CAN(MB, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","High",95,"None","High",4.4,7,2700,4800,36,60,8,"None","Tolerant",-28,"Spring","Routinely Available","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"373","Carex bushii","Carex bushii","CABU5",NA,"CABU5","NA (L48)","USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Slow",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Medium","High","No","Low","Medium","High",145,"None","Medium",5.8,7.5,2700,4800,36,60,8,"Low","Intermediate",-23,"Mid Spring","No Known Source","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"374","Carex canescens","Carex canescens","CACA11",NA,"CACA11","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, UT, VA, VT, WA, WI, WV, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Gray-Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Slow",NA,2,"No","No","Long","No","None","No","Erect","None","Yes","Yes","No","High","Low","Yes","None","Low","High",85,"None","High",5.1,7.2,1700,4800,14,40,8,"None","Intermediate",-33,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"375","Carex capillaris","Carex capillaris","CACA12",NA,"CACA12","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, CO, ID, ME, MI, MN, MT, ND, NH, NM, NV, NY, OR, SD, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Porous","Porous","Fine","Brown","No","Bunch","Moderate",NA,2,"No","No","Moderate","No","None","No","Semi-Erect","None","No","Yes","Yes","High","Medium","No","Low","Low","High",80,"None","Medium",5.8,7.4,2700,4800,18,55,6,"None","Tolerant",-43,"Late Spring","No Known Source","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"376","Carex cephalophora","Carex cephalophora","CACE",NA,"CACE","NA (L48, CAN)","CAN(ON, QC), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Porous","Porous","Medium","Brown","No","Bunch","Moderate",NA,3,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","Low","Low","No","Medium","Low","High",90,"None","Low",4.8,7,2700,4800,36,55,8,"None","Intermediate",-33,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"377","Carex comosa","Carex comosa","CACO8",NA,"CACO8","NA (L48, CAN)","CAN(BC, NB, NS, ON, QC), USA(AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Rhizomatous","Slow",NA,5,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","High",90,"None","High",4.6,7.5,2700,4800,14,55,8,"Low","Intermediate",-28,"Mid Summer","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"378","Carex crinita","Carex crinita","CACR6",NA,"CACR6","NA (L48, CAN)","CAN(MB, NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring","Slow","None",NA,"No","No","Yes","Green","No","Green","Porous","Porous","Fine","Brown","No","Bunch","Moderate",NA,5,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","Low",144,"None","Medium",4,7.5,1900,10912,36,65,18,"None","Intermediate",-33,"Late Spring","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",719988,"Slow","Medium","No","None","No","No","No",NA,"No","No","No",NA,"Medium","No","No",NA,"No","No"
"379","Carex cristatella","Carex cristatella","CACR7",NA,"CACR7","NA (L48, CAN)","CAN(MB, ON, QC, SK), USA(CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Porous","Porous","Coarse","Brown","No","Bunch","Moderate",NA,3,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Low","No","Low","Medium","High",85,"None","High",4.9,6.8,2700,4800,32,55,8,"None","Tolerant",-33,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"380","Carex crus-corvi","Carex crus-corvi","CACR8",NA,"CACR8","NA (L48, CAN)","CAN(ON), USA(AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NC, NE, OH, OK, SC, TN, TX, VA, WI)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring","Slow","None",NA,"No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,3,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","Low","Low","No","Medium","Medium","Low",125,"None","Medium",3.5,7,3400,4800,35,60,16,"None","Intermediate",-28,"Spring","Routinely Available","Low","Spring","Summer","Yes","No","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No",NA,"Medium","No","No",NA,"No","No"
"381","Carex debilis","Carex debilis","CADE5",NA,"CADE5","NA (L48, CAN, SPM)","CAN(NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,3,"No","No","Long","No","None","No","Semi-Erect","None","Yes","Yes","No","High","Low","No","None","Low","High",180,"None","High",4.6,6.6,2700,4800,36,55,8,"None","Tolerant",-13,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"382","Carex decomposita","Carex decomposita","CADE6",NA,"CADE6","NA (L48)","USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MO, MS, NC, NY, OH, OK, SC, TN, TX, VA)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Dense","Porous","Coarse","Brown","No","Bunch","Rapid",NA,4,"No","No","Long","No","None","No","Semi-Erect","None","Yes","Yes","No","High","None","No","None","Medium","High",140,"None","High",4.5,6.6,1700,2700,36,55,12,"None","Tolerant",-13,"Late Spring","No Known Source","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"383","Carex deweyana","Carex deweyana","CADE9",NA,"CADE9","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), USA(AK, CO, CT, IA, ID, IL, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(I?)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Moderate",NA,4,"No","No","Long","No","None","No","Decumbent","None","No","Yes","No","Low","Low","No","Medium","High","High",90,"None","Medium",5.4,7,2700,4800,16,55,10,"None","Tolerant",-33,"Late Spring","Contracting Only","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"384","Carex diandra","Carex diandra","CADI4",NA,"CADI4","NA (L48, AK, CAN, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA(SB), USA(AK, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,3,"No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","High","Low","Yes","None","Low","High",85,"None","High",5,7.2,1700,4800,14,40,8,"None","Intermediate",-33,"Late Spring","No Known Source","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"385","Carex disperma","Carex disperma","CADI6",NA,"CADI6","NA (L48, AK, CAN, GL, SPM)","CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)GL(N)SPM(N)","Yes","Spring and Summer","Slow","None","Low","No","No","No","Green","No","Green","Porous","Porous","Fine","Brown","No","Stoloniferous","Moderate",NA,2,"No","No","Moderate","No","None","No","Semi-Erect","None","No","Yes","Yes","High","Low","No","Low","Medium","High",80,"None","High",4.5,6.5,2700,4800,14,55,8,"Low","Intermediate",-38,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No","Medium","Low","No","No","Low","No","No"
"386","Carex douglasii","Carex douglasii","CADO2",NA,"CADO2","NA (L48, CAN)","CAN(AB, BC, MB, SK), USA(AZ, CA, CO, IA, ID, MO, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Porous","Porous","Fine","Brown","No","Rhizomatous","Slow",NA,2,"No","No","Long","No","None","No","Erect","None","Yes","Yes","Yes","Medium","Medium","Yes","Medium","Low","High",85,"None","Medium",6,8.5,1700,4800,14,24,8,"Medium","Intolerant",-33,"Late Spring","No Known Source","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","No","Low","Medium","No","No","Medium","No","No"
"387","Carex echinata","Carex echinata","CAEC",NA,"CAEC","NA (L48, AK, CAN, SPM), HI","CAN(AB, BC, LB, NB, NF, NS, ON, PE, QC, SK), FRA(SB), USA(AK, CA, CO, CT, DC, HI, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)HI(N)CAN(N)SPM(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Fine","Brown","No","Bunch","Slow",NA,2,"No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","High",80,"None","High",5.6,7.2,2700,4800,36,55,8,"None","Intermediate",-38,"Late Spring","No Known Source","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"388","Carex exserta","Carex filifolia var. erostrata","CAEX4",NA,"CAEX4","NA (L48)","USA(CA, NV, OR)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Brown","No","Green","Porous","Porous","Fine","Brown","Yes","Bunch","Slow",NA,1,"No","No","Short","No","None","No","Erect","None","Yes","Yes","Yes","High","Low","No","High","Low","High",140,"None","Low",6,8,11000,18000,8,14,8,"Medium","Intermediate",-28,"Late Spring","No Known Source","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Medium","No","No","Low","No","No"
"389","Carex filifolia","Carex filifolia","CAFI",NA,"CAFI","NA (L48, AK, CAN)","CAN(AB, BC, MB, NT, SK, YT), USA(AK, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Slow","None","High","No","No","No","Green","No","Green","Moderate","Porous","Coarse","Brown","No","Bunch","Slow",NA,1,"No","No","Long","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","Medium","Low","High",90,"None","Low",5.2,7.5,2700,4800,8,24,12,"None","Intolerant",-38,"Late Spring","Contracting Only","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"390","Carex flaccosperma","Carex flaccosperma","CAFL3",NA,"CAFL3","NA (L48)","USA(AL, AR, DC, FL, GA, IL, KS, KY, LA, MD, MO, MS, NC, NJ, NY, OK, SC, TN, TX, VA)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Green","No","Gray-Green","Moderate","Porous","Medium","Brown","No","Bunch","Slow",NA,1,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","High","No","Low","Medium","High",175,"None","High",4.6,7.1,2700,4800,36,55,8,"None","Tolerant",-8,"Late Spring","Routinely Available","Low","Spring","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"391","Carex frankii","Carex frankii","CAFR3",NA,"CAFR3","NA (L48, CAN)","CAN(ON), USA(AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WV)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Green","No","Green","Moderate","Porous","Medium","Brown","No","Rhizomatous","Slow",NA,2,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","High",140,"None","High",5.9,7.2,2700,4800,18,55,9,"None","Tolerant",-23,"Late Spring","Routinely Available","Low","Summer","Summer","No","Yes","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Low","No","Moderate","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"392","Carex geyeri","Carex geyeri","CAGE2",NA,"CAGE2","NA (L48, CAN)","CAN(AB, BC), USA(CA, CO, ID, MT, NM, NV, OR, PA, UT, WA, WY)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","No","Green","Porous","Porous","Medium","Brown","Yes","Rhizomatous","Slow",NA,2,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Low","No","High","Low","High",130,"None","Low",6,7.7,11000,18000,12,20,10,"None","Intermediate",-28,"Late Spring","Contracting Only","Low","Spring","Summer","No","Yes","No","No","No","No","No","No","Yes","No",91400,"Slow","Low","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"393","Carex glaucescens","Carex glaucescens","CAGL5",NA,"CAGL5","NA (L48)","USA(AL, AR, FL, GA, LA, MD, MS, NC, OK, SC, TN, TX, VA)","Monocot","Cyperaceae","Perennial","Graminoid","L48(N)","Yes","Spring","Slow","None",NA,"No","No","Yes","Green","No","Green","Porous","Porous","Fine","Yellow","No","Bunch","Moderate",NA,5,"No","No","Long","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","Low","Medium","Low",242,"None","High",4,8,3450,4800,40,65,16,"None","Intermediate",-13,"Spring","No Known Source","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Medium","No","None","No","No","No",NA,"No","No","No",NA,"Medium","No","No",NA,"No","No"
