"","genus","ResolvedName","csr_c","csr_r","usda_habit","usda_growth","usda_allelo","usda_lifespan","usda_nitro","usda_toxic","hyb_prop","hyb_ratio","gpi_inv_cong","gpi_inv_else","will_rangesize","will_preciprange","will_phrange"
"928","Lupinus","Lupinus benthamii",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,1.86e+11,1985.87999,5.719999552
"929","Lupinus","Lupinus bicolor",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"930","Lupinus","Lupinus chamissonis",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,1.11e+11,1822.35997,4.999999523
"931","Lupinus","Lupinus excubitus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,2.64e+11,1519.359985,5.920000315
"932","Lupinus","Lupinus formosus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,2.91e+11,3959.279892,5.719999552
"933","Lupinus","Lupinus hirsutissimus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,1.32e+11,1418.550034,4.559999466
"934","Lupinus","Lupinus latifolius",NA,NA,"Forb/herb","Rapid","No","Short","Low","Severe",0.043459365,0.025423729,TRUE,FALSE,7.72e+11,5918.130234,7.360000014
"935","Lupinus","Lupinus longifolius",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,1.14e+11,1233.060043,4.559999466
"936","Lupinus","Lupinus microcarpus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"937","Lupinus","Lupinus densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"938","Lupinus","Lupinus nanus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"939","Lupinus","Lupinus polyphyllus",67.4212532890378,26.5014410784681,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,TRUE,NA,NA,NA
"940","Lupinus","Lupinus burkei",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"941","Lupinus","Lupinus arboreus var. arboreus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"942","Lupinus","Lupinus rivularis",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,NA,NA,NA
"943","Lupinus","Lupinus sericatus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,12254302472,1464.259979,3.260000229
"944","Lupinus","Lupinus sparsiflorus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,3.31e+11,1269.739975,5.75999999
"945","Lupinus","Lupinus succulentus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,2.64e+11,2283.589951,5.859999895
"946","Lupinus","Lupinus truncatus",NA,NA,NA,NA,NA,NA,NA,NA,0.043459365,0.025423729,TRUE,FALSE,1.24e+11,1418.550034,4.559999466
"947","Lycium","Lycium andersonii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,7.01e+11,1662,7.460000396
"948","Lycium","Lycium brevipes",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.41e+11,1237.490044,5.159999847
"949","Lycium","Lycium californicum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,1.79e+11,1233.060043,5.159999847
"950","Lyonothamnus","Lyonothamnus floribundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,17594648604,1038.670013,4.559999466
"951","Lysichiton","Lysichiton americanus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,NA,NA,NA
"952","Lysimachia","Lysimachia europaea",10.7337227901265,55.5425080530396,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"953","Lysimachia","Lysimachia europaea",10.7337227901265,55.5425080530396,NA,NA,NA,NA,NA,NA,0.150829563,0.038461538,TRUE,FALSE,NA,NA,NA
"954","Lysimachia","Lysimachia europaea",10.7337227901265,55.5425080530396,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"955","Madia","Madia elegans",NA,NA,NA,NA,NA,NA,NA,NA,0.793650794,0.107142857,FALSE,FALSE,4.86e+11,4505.009766,5.819999933
"956","Maianthemum","Maianthemum dilatatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"957","Maianthemum","Maianthemum dilatatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"958","Maianthemum","Maianthemum racemosum subsp. amplexicaule",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"959","Maianthemum","Maianthemum racemosum subsp. amplexicaule",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"960","Maianthemum","Maianthemum stellatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"961","Maianthemum","Maianthemum stellatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"962","Malacothamnus","Malacothamnus clementinus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,10510671776,1038.670013,4.559999466
"963","Malacothamnus","Malacothamnus densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,31618845611,763.989975,3.03000021
"964","Malacothamnus","Malacothamnus fasciculatus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.37e+11,2302.699951,5.719999552
"965","Malacothamnus","Malacothamnus fremontii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.97e+11,2816.839951,5.719999552
"966","Malacothamnus","Malacothamnus involucratus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"967","Malacothamnus","Malacothamnus jonesii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,24132205715,1208.100037,2.899999619
"968","Malacothamnus","Malacothamnus lucianus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"969","Malacothamnus","Malacothamnus nuttallii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"970","Malacothrix","Malacothrix coulteri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,3.76e+11,1519.359985,5.920000315
"971","Malacothrix","Malacothrix floccifera",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.29e+11,3929.989891,5.819999933
"972","Malacothrix","Malacothrix glabrata",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,8.83e+11,3871.26001,7.460000396
"973","Malacothrix","Malacothrix incana",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,41815878236,1219.170044,4.559999466
"974","Malacothrix","Malacothrix saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,92096147547,1306.500046,4.559999466
"975","Malacothrix","Malacothrix saxatilis var. implicata",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"976","Malacothrix","Malacothrix saxatilis var. saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"977","Malacothrix","Malacothrix sonchoides",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,9.79e+11,1662,7.460000396
"978","Malosma","Malosma laurina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1.14e+11,1233.060043,4.559999466
"979","Malus","Malus fusca",NA,NA,"Tree, Shrub","Slow","No","Moderate","None",NA,1.098901099,0.071428571,TRUE,FALSE,NA,NA,NA
"980","Malva","Malva assurgentiflora",NA,NA,"Subshrub, Shrub","Rapid","No","Short","None","None",0,0,TRUE,FALSE,22366616920,1156.700043,4.559999466
"981","Malva","Malva assurgentiflora",NA,NA,"Subshrub, Shrub","Rapid","No","Short","None","None",0.317124736,0.068181818,TRUE,FALSE,22366616920,1156.700043,4.559999466
"982","Cochemiea","Cochemiea dioica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,81520446442,1134.089951,4.019999504
"983","Marah","Marah fabacea",NA,NA,NA,NA,NA,NA,NA,NA,20,0.4,FALSE,FALSE,1.68e+11,2794.289948,5.719999552
"984","Marah","Marah macrocarpa",NA,NA,NA,NA,NA,NA,NA,NA,20,0.4,FALSE,FALSE,1.06e+11,1233.060043,4.559999466
"985","Matricaria","Matricaria occidentalis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.36e+11,3978.389893,5.719999552
"986","Maurandella","Maurandella antirrhiniflora",NA,NA,"Vine, Forb/herb","Rapid","No","Moderate","None","None",NA,NA,FALSE,FALSE,5.16e+11,1498.85997,7.399999976
"987","Melica","Melica californica",NA,NA,"Graminoid","Moderate","No","Short","None","None",0,0,FALSE,FALSE,3.06e+11,4485.899765,5.819999933
"988","Melica","Melica imperfecta",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,FALSE,FALSE,3.08e+11,2835.949951,5.719999552
"989","Melica","Melica torreyana",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.37e+11,3929.989891,5.719999552
"990","Mentzelia","Mentzelia laevicaulis var. laevicaulis",NA,NA,NA,NA,NA,NA,NA,NA,0.153609831,0.047619048,FALSE,FALSE,NA,NA,NA
"991","Mentzelia","Mentzelia lindleyi",NA,NA,NA,NA,NA,NA,NA,NA,0.153609831,0.047619048,FALSE,FALSE,1.01e+11,3945.389893,5.859999895
"992","Erythranthe","Erythranthe primuloides",NA,NA,"Forb/herb","Moderate","No","Short","None","None",NA,NA,TRUE,FALSE,8.85e+11,5469.160156,7.460000396
"993","Mirabilis","Mirabilis albida",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"994","Mirabilis","Mirabilis laevis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,6.55e+11,1662,7.460000396
"995","Mirabilis","Mirabilis laevis var. crassifolia",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"996","Mirabilis","Mirabilis laevis var. villosa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"997","Mirabilis","Mirabilis multiflora",NA,NA,"Forb/herb, Subshrub","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,1.01e+12,1662,7.460000396
"998","Monardella","Monardella australis",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,88214445655,1134.089951,4.559999466
"999","Monardella","Monardella linoides",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,1.98e+11,1662,5.719999552
"1000","Monardella","Monardella macrantha",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,1.1e+11,1311.560043,4.559999466
"1001","Monardella","Monardella villosa",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,1.64e+11,3883.339905,5.529999971
"1002","Monardella","Monardella odoratissima subsp. franciscana",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,NA,NA,NA
"1003","Monardella","Monardella villosa subsp. villosa",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,NA,NA,NA
"1004","Monardella","Monardella viminea",NA,NA,NA,NA,NA,NA,NA,NA,4.086021505,0.612903226,FALSE,FALSE,NA,NA,NA
"1005","Myrica","Myrica californica",NA,NA,"Tree, Shrub","Moderate","No","Long","Low","None",0,0,TRUE,FALSE,NA,NA,NA
"1006","Muhlenbergia","Muhlenbergia dumosa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"1007","Muhlenbergia","Muhlenbergia dumosa",NA,NA,NA,NA,NA,NA,NA,NA,0.052882073,0.016129032,TRUE,FALSE,NA,NA,NA
"1008","Muhlenbergia","Muhlenbergia rigens",11.3165719290211,0,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,FALSE,6.27e+11,2816.839951,7.399999976
"1009","Muhlenbergia","Muhlenbergia rigens",11.3165719290211,0,"Graminoid","Moderate","No","Long","None","None",0.052882073,0.016129032,TRUE,FALSE,6.27e+11,2816.839951,7.399999976
"1010","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1011","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1012","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,0.860215054,0.129032258,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1013","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,0.25,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1014","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1015","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,0.2,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1016","Hemionitis","Hemionitis covillei",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,5.34e+11,2835.949951,7.460000396
"1017","Neltuma","Neltuma odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA
"1018","Nemophila","Nemophila maculata",NA,NA,"Forb/herb","Rapid","No",NA,"None","None",0,0,FALSE,FALSE,NA,NA,NA
"1019","Nemophila","Nemophila menziesii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"1020","Neviusia","Neviusia cliftonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,9778230074,2417.839966,2.78000021
"1021","Nicotiana","Nicotiana quadrivalvis",NA,NA,NA,NA,NA,NA,NA,NA,0.793650794,0.107142857,TRUE,FALSE,NA,NA,NA
"1022","Nolina","Nolina bigelovii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.58e+11,1382.03997,7.259999633
"1023","Nolina","Nolina parryi",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.2e+11,1233.060043,7.259999633
"1024","Notholithocarpus","Notholithocarpus densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,2.21e+11,4409.539764,5.719999552
"1025","Notholithocarpus","Notholithocarpus densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,1636913845,1451.329956,2.140000343
"1026","Notholithocarpus","Notholithocarpus densiflorus var. densiflorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"1027","Odontostomum","Odontostomum hartwegii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,54536909724,2574.399963,4.580000162
"1028","Oemleria","Oemleria cerasiformis",NA,NA,"Shrub, Tree","Rapid","No","Short","None",NA,NA,NA,FALSE,FALSE,NA,NA,NA
"1029","Oenothera","Oenothera avita",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"1030","Oenothera","Oenothera avita",NA,NA,NA,NA,NA,NA,NA,NA,0.102145046,0.04494382,TRUE,FALSE,NA,NA,NA
"1031","Oenothera","Oenothera cespitosa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"1032","Oenothera","Oenothera cespitosa",NA,NA,NA,NA,NA,NA,NA,NA,0.102145046,0.04494382,TRUE,FALSE,NA,NA,NA
"1033","Oenothera","Oenothera deltoides",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,7.25e+11,3871.26001,5.920000315
"1034","Oenothera","Oenothera deltoides",NA,NA,NA,NA,NA,NA,NA,NA,0.102145046,0.04494382,TRUE,FALSE,7.25e+11,3871.26001,5.920000315
"1035","Oenothera","Oenothera elata",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA
"1036","Oenothera","Oenothera elata",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0.102145046,0.04494382,TRUE,FALSE,NA,NA,NA
"1037","Oenothera","Oenothera elata subsp. hirsutissima",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"1038","Oenothera","Oenothera elata subsp. hirsutissima",NA,NA,NA,NA,NA,NA,NA,NA,0.102145046,0.04494382,TRUE,FALSE,NA,NA,NA
"1039","Oenothera","Oenothera elata subsp. hookeri",NA,NA,"Forb/herb","Rapid","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA
"1040","Oenothera","Oenothera elata subsp. hookeri",NA,NA,"Forb/herb","Rapid","No","Moderate","None","None",0.102145046,0.04494382,TRUE,FALSE,NA,NA,NA
"1041","Olneya","Olneya tesota",NA,NA,"Tree, Shrub","Slow","No","Long","Low","None",NA,NA,FALSE,FALSE,2.14e+11,1138.519951,5.75999999
"1042","Opuntia","Opuntia littoralis",NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,0.333333333,TRUE,FALSE,1.14e+11,1233.060043,4.559999466
"1043","Opuntia","Opuntia phaeacantha",NA,NA,NA,NA,NA,NA,NA,NA,1.333333333,0.333333333,TRUE,TRUE,30055603932,763.4000092,3.559999943
"1044","Osmorhiza","Osmorhiza berteroi",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"1045","Oxalis","Oxalis oregana",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA
"1046","Paeonia","Paeonia californica",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.23e+11,1311.560043,4.559999466
"1047","Papaver","Papaver heterophyllum",NA,NA,NA,NA,NA,NA,NA,NA,0.067340067,0.018181818,TRUE,FALSE,2.12e+11,1624.87999,5.719999552
"1048","Parkinsonia","Parkinsonia florida",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,3.04e+11,1138.519951,5.75999999
"1049","Parkinsonia","Parkinsonia microphylla",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,2.23e+11,1134.089951,5.75999999
"1050","Parnassia","Parnassia palustris",NA,NA,"Forb/herb","Moderate","No","Long","None","None",1.818181818,0.090909091,FALSE,FALSE,NA,NA,NA
"1051","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1052","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1053","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,0.860215054,0.129032258,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1054","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,0.25,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1055","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1056","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,0.2,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1057","Hemionitis","Hemionitis myrtillifolia",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,2.88e+11,3995.950058,5.719999552
"1058","Penstemon","Penstemon azureus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,1.72e+11,4384.509766,5.529999971
"1059","Penstemon","Penstemon azureus var. angustissimus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1060","Penstemon","Penstemon centranthifolius",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1061","Penstemon","Penstemon clevelandii",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,92337739375,1138.519951,4.019999504
"1062","Penstemon","Penstemon davidsonii var. davidsonii",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1063","Penstemon","Penstemon eatonii",NA,NA,"Forb/herb","Rapid","No","Short","None","None",0.081371694,0.075268817,TRUE,FALSE,6.78e+11,1415.140015,7.460000396
"1064","Penstemon","Penstemon grinnellii",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,1.92e+11,1471.01001,4.559999466
"1065","Penstemon","Penstemon heterophyllus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,2.59e+11,3959.279892,5.719999552
"1066","Penstemon","Penstemon sepalulus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,28257270462,1302.190018,3.870000362
"1067","Penstemon","Penstemon incertus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,1.41e+11,1396.719971,4.559999466
"1068","Penstemon","Penstemon labrosus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,1.18e+11,1233.060043,4.559999466
"1069","Penstemon","Penstemon newberryi",NA,NA,"Forb/herb, Subshrub","Slow","No","Long","None","None",0.081371694,0.075268817,TRUE,FALSE,2.44e+11,4505.009766,5.819999933
"1070","Penstemon","Penstemon newberryi var. sonomensis",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1071","Penstemon","Penstemon palmeri",NA,NA,"Subshrub, Forb/herb","Moderate","No","Moderate","None","None",0.081371694,0.075268817,TRUE,FALSE,6.66e+11,2042.909912,7.460000396
"1072","Penstemon","Penstemon palmeri var. palmeri",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1073","Penstemon","Penstemon procerus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,NA,NA,NA
"1074","Penstemon","Penstemon pseudospectabilis",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,3.86e+11,1138.519951,7.460000396
"1075","Penstemon","Penstemon rostriflorus",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,6.62e+11,1662,7.460000396
"1076","Penstemon","Penstemon rydbergii",NA,NA,"Subshrub, Forb/herb","Moderate","No","Moderate","None","Slight",0.081371694,0.075268817,TRUE,FALSE,1.18e+12,4763.339844,7.460000396
"1077","Penstemon","Penstemon speciosus",NA,NA,"Forb/herb","Moderate","No","Long","None","None",0.081371694,0.075268817,TRUE,FALSE,8.78e+11,4005.909912,5.920000315
"1078","Penstemon","Penstemon spectabilis",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,1.01e+11,1134.089951,4.559999466
"1079","Penstemon","Penstemon thurberi",NA,NA,NA,NA,NA,NA,NA,NA,0.081371694,0.075268817,TRUE,FALSE,2.72e+11,1138.519951,5.619999647
"1080","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"1081","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,100,0.5,FALSE,FALSE,NA,NA,NA
"1082","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,0.860215054,0.129032258,FALSE,FALSE,NA,NA,NA
"1083","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,16.66666667,0.25,FALSE,FALSE,NA,NA,NA
"1084","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"1085","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,2.857142857,0.2,FALSE,FALSE,NA,NA,NA
"1086","Hemionitis","Hemionitis triangularis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA
"1087","Perideridia","Perideridia kelloggii",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,1.51e+11,3945.389893,5.410000086
"1088","Persicaria","Persicaria amphibia",34.9214751681529,55.5308890787853,"Forb/herb","Moderate","No","Moderate","None","None",1.814516129,0.28125,TRUE,TRUE,NA,NA,NA
"1089","Persicaria","Persicaria amphibia",43.0895977280953,23.3964390772807,"Forb/herb","Moderate","No","Moderate","None","None",1.814516129,0.28125,TRUE,TRUE,NA,NA,NA
"1090","Petasites","Petasites frigidus var. palmatus",NA,NA,NA,NA,NA,NA,NA,NA,1.169590643,0.105263158,TRUE,FALSE,NA,NA,NA
"1091","Phacelia","Phacelia bolanderi",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,70926757750,4284.919769,4.179999828
"1092","Phacelia","Phacelia californica",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,41119975394,3730.18988,4.269999981
"1093","Phacelia","Phacelia campanularia",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,NA,NA,NA
"1094","Phacelia","Phacelia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,53985462531,1228.000046,4.559999466
"1095","Phacelia","Phacelia imbricata",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,3.02e+11,3959.279892,5.719999552
"1096","Phacelia","Phacelia minor",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,NA,NA,NA
"1097","Phacelia","Phacelia ramosissima",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,NA,NA,NA
"1098","Phacelia","Phacelia sericea var. ciliosa",NA,NA,NA,NA,NA,NA,NA,NA,0.03740835,0.030487805,TRUE,FALSE,NA,NA,NA
"1099","Phacelia","Phacelia tanacetifolia",54.1719875119525,45.8280124880475,"Forb/herb","Rapid","No",NA,"None","None",0.03740835,0.030487805,TRUE,TRUE,NA,NA,NA
"1100","Phalaris","Phalaris arundinacea",35.7248493016989,28.6603911769534,"Graminoid","Rapid","No","Long","None","Slight",0,0,TRUE,TRUE,NA,NA,NA
"1101","Philadelphus","Philadelphus lewisii",NA,NA,"Shrub","Moderate","No","Moderate","None","None",0,0,FALSE,FALSE,47609342932,3651.170013,4
