"","genus","ResolvedName","csr_c","csr_r","usda_habit","usda_growth","usda_allelo","usda_lifespan","usda_nitro","usda_toxic","hyb_prop","hyb_ratio","gpi_inv_cong","gpi_inv_else","will_rangesize","will_preciprange","will_phrange","reg_native","gir_nuisance","Seed_Dispersal_Category"
"1607","Carex","Carex echinata",5.55013836031251,11.3082555092151,"Graminoid","Slow","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1608","Carex","Carex echinata",5.55013836031251,11.3082555092151,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1609","Carex","Carex echinata",5.55013836031251,11.3082555092151,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1610","Carex","Carex filifolia",NA,NA,"Graminoid","Slow","No","Long","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1611","Carex","Carex filifolia",NA,NA,"Graminoid","Slow","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1612","Carex","Carex filifolia",NA,NA,"Graminoid","Slow","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1613","Carex","Carex hendersonii",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1614","Carex","Carex hendersonii",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1615","Carex","Carex hendersonii",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1616","Carex","Carex inops",NA,NA,NA,NA,NA,NA,NA,NA,0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1617","Carex","Carex inops",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1618","Carex","Carex inops",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1619","Carex","Carex lenticularis",NA,NA,"Graminoid","Moderate","No","Long","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1620","Carex","Carex lenticularis",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1621","Carex","Carex lenticularis",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1622","Carex","Carex leptalea",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1623","Carex","Carex leptalea",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1624","Carex","Carex leptalea",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1625","Carex","Carex praticola",NA,NA,NA,NA,NA,NA,NA,NA,0.024607728,0.104582844,TRUE,FALSE,69050089029,1201.210007,3.550000191,FALSE,FALSE,NA
"1626","Carex","Carex praticola",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,69050089029,1201.210007,3.550000191,FALSE,FALSE,NA
"1627","Carex","Carex praticola",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,69050089029,1201.210007,3.550000191,FALSE,FALSE,NA
"1628","Carex","Carex retrorsa",NA,NA,NA,NA,NA,NA,NA,NA,0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1629","Carex","Carex retrorsa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1630","Carex","Carex retrorsa",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1631","Carex","Carex rostrata",38.9515560180995,21.305594707962,"Graminoid","Moderate","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1632","Carex","Carex rostrata",38.9515560180995,21.305594707962,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1633","Carex","Carex rostrata",38.9515560180995,21.305594707962,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1634","Carex","Carex scoparia",NA,NA,"Graminoid","Moderate","No","Long","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1635","Carex","Carex scoparia",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1636","Carex","Carex scoparia",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1637","Carex","Carex scopulorum",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1638","Carex","Carex scopulorum",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1639","Carex","Carex scopulorum",NA,NA,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1640","Carex","Carex stipata",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1641","Carex","Carex stipata",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1642","Carex","Carex stipata",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1643","Carex","Carex tribuloides",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1644","Carex","Carex tribuloides",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1645","Carex","Carex tribuloides",NA,NA,"Graminoid","Slow","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1646","Carex","Carex oederi var. oederi",19.6383542655378,22.811107417058,"Graminoid","Moderate","No","Moderate","None","None",0.024607728,0.104582844,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1647","Carex","Carex oederi var. oederi",19.6383542655378,22.811107417058,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1648","Carex","Carex oederi var. oederi",19.6383542655378,22.811107417058,"Graminoid","Moderate","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1649","Carex","Carex vulpinoidea",17.2299893017503,22.7554865644681,"Graminoid","Moderate","No","Long","None","None",0.024607728,0.104582844,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1650","Carex","Carex vulpinoidea",17.2299893017503,22.7554865644681,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1651","Carex","Carex vulpinoidea",17.2299893017503,22.7554865644681,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1652","Carex","Carex vulpinoidea",16.9317725872949,30.0856666371167,"Graminoid","Moderate","No","Long","None","None",0.024607728,0.104582844,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1653","Carex","Carex vulpinoidea",16.9317725872949,30.0856666371167,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1654","Carex","Carex vulpinoidea",16.9317725872949,30.0856666371167,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1655","Castilleja","Castilleja angustifolia",NA,NA,"Subshrub, Forb/herb","Moderate","No","Moderate","None","None",0.385964912,0.144736842,FALSE,FALSE,1.25e+12,4015.060059,7.460000396,FALSE,FALSE,NA
"1656","Castilleja","Castilleja applegatei",NA,NA,"Subshrub, Forb/herb","Slow","No","Moderate","None","None",0.385964912,0.144736842,FALSE,FALSE,1.25e+12,4505.009766,5.920000315,FALSE,FALSE,NA
"1657","Castilleja","Castilleja foliolosa",NA,NA,NA,NA,NA,NA,NA,NA,0.385964912,0.144736842,FALSE,FALSE,2.48e+11,3959.279892,5.719999552,FALSE,FALSE,NA
"1658","Castilleja","Castilleja hispida",NA,NA,"Subshrub, Forb/herb","Rapid","No","Short","None","None",0.385964912,0.144736842,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1659","Castilleja","Castilleja miniata",NA,NA,NA,NA,NA,NA,NA,NA,0.385964912,0.144736842,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1660","Castilleja","Castilleja parviflora",NA,NA,NA,NA,NA,NA,NA,NA,0.385964912,0.144736842,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1661","Castilleja","Castilleja tenuis",NA,NA,NA,NA,NA,NA,NA,NA,0.385964912,0.144736842,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1662","Catalpa","Catalpa bignonioides",NA,NA,"Tree","Rapid","No","Long","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"1663","Ceanothus","Ceanothus incanus",NA,NA,NA,NA,NA,NA,NA,NA,0.653120464,0.169811321,FALSE,FALSE,53632715893,3758.299896,4,FALSE,FALSE,"Autochory"
"1664","Ceanothus","Ceanothus palmeri",NA,NA,NA,NA,NA,NA,NA,NA,0.653120464,0.169811321,FALSE,FALSE,93320148509,1690.740036,4.559999466,FALSE,FALSE,NA
"1665","Ceanothus","Ceanothus parryi",NA,NA,NA,NA,NA,NA,NA,NA,0.653120464,0.169811321,FALSE,FALSE,31573045248,3643.249878,3.380000114,FALSE,FALSE,NA
"1666","Ceanothus","Ceanothus purpureus",NA,NA,NA,NA,NA,NA,NA,NA,0.653120464,0.169811321,FALSE,FALSE,8147932915,1514.129974,2.900000095,FALSE,FALSE,"Autochory"
"1667","Ceanothus","Ceanothus sanguineus",NA,NA,"Shrub","Slow","No","Moderate","Low","None",0.653120464,0.169811321,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1668","Centromadia","Centromadia pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1669","Cerastium","Cerastium arvense",3.51729599985024,54.8777238988839,NA,NA,NA,NA,NA,NA,0.153508772,0.072916667,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1670","Ceratophyllum","Ceratophyllum demersum",23.8812717190573,76.1187282809427,"Forb/herb","Rapid","No","Moderate","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1671","Cercis","Cercis orbiculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,4.75e+11,3945.389893,7.460000396,FALSE,FALSE,NA
"1672","Chaenactis","Chaenactis douglasii",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0.865800866,0.090909091,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1673","Chaenactis","Chaenactis stevioides",NA,NA,NA,NA,NA,NA,NA,NA,0.865800866,0.090909091,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1674","Chamaecyparis","Chamaecyparis lawsoniana",NA,NA,"Tree","Moderate","No","Long","None","None",5,0.1,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,NA
"1675","Epilobium","Epilobium angustifolium",39.1210750909054,30.1890211204146,"Forb/herb","Rapid","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1676","Epilobium","Epilobium angustifolium",39.1210750909054,30.1890211204146,"Forb/herb","Rapid","No","Moderate","None","None",0.834575261,0.504918033,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1677","Epilobium","Epilobium angustifolium",34.6426294023371,48.2528614417038,"Forb/herb","Rapid","No","Moderate","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1678","Epilobium","Epilobium angustifolium",34.6426294023371,48.2528614417038,"Forb/herb","Rapid","No","Moderate","None","None",0.834575261,0.504918033,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1679","Chenopodium","Chenopodium album",NA,NA,NA,NA,NA,NA,NA,NA,0.021905805,0.018072289,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1680","Chenopodium","Chenopodium berlandieri",NA,NA,NA,NA,NA,NA,NA,NA,0.021905805,0.018072289,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,NA
"1681","Chimaphila","Chimaphila umbellata",NA,NA,"Subshrub","Slow","No","Long","None","None",0,0,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"1682","Chrysolepis","Chrysolepis sempervirens",NA,NA,"Shrub","Slow","No","Moderate","None","None",0,0,FALSE,FALSE,3.44e+11,4005.909912,5.819999933,FALSE,FALSE,NA
"1683","Chrysothamnus","Chrysothamnus viscidiflorus",NA,NA,"Shrub","Moderate","No","Short","None","None",0.925925926,0.125,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Anemochory"
"1684","Cicuta","Cicuta douglasii",NA,NA,"Forb/herb","Rapid","No","Short","None","Severe",0,0,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1685","Cicuta","Cicuta maculata",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,TRUE,FALSE,NA
"1686","Circaea","Circaea alpina",22.9472418399603,70.3989226763447,"Forb/herb","Moderate","No","Moderate","None","None",20,0.5,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1687","Cirsium","Cirsium douglasii",NA,NA,NA,NA,NA,NA,NA,NA,0.245630609,0.178082192,TRUE,FALSE,2.09e+11,3892.039886,5.099999905,FALSE,FALSE,NA
"1688","Cistanthe","Cistanthe umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1689","Clarkia","Clarkia gracilis",NA,NA,"Forb/herb","Rapid","No",NA,"None","None",0.769230769,0.15,FALSE,FALSE,2.49e+11,5086.09996,5.099999905,FALSE,FALSE,NA
"1690","Clarkia","Clarkia pulchella",NA,NA,"Forb/herb","Rapid","No",NA,"None","None",0.769230769,0.15,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1691","Clarkia","Clarkia rhomboidea",NA,NA,NA,NA,NA,NA,NA,NA,0.769230769,0.15,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1692","Claytonia","Claytonia lanceolata",NA,NA,NA,NA,NA,NA,NA,NA,1.13960114,0.148148148,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1693","Clinopodium","Clinopodium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1694","Clintonia","Clintonia andrewsiana",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,44037848773,4276.029755,3.849999905,FALSE,FALSE,NA
"1695","Collinsia","Collinsia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,1.754385965,0.157894737,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1696","Collinsia","Collinsia parviflora",NA,NA,"Forb/herb","Rapid","No",NA,"None","None",1.754385965,0.157894737,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1697","Collomia","Collomia grandiflora",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1698","Comandra","Comandra umbellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1699","Comarum","Comarum palustre",32.0849257555208,26.5089400934212,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1700","Erigeron","Erigeron canadensis",9.98092326076252,47.7391826761411,"Forb/herb","Rapid","No",NA,"None","None",1.086956522,0.125,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1701","Erigeron","Erigeron canadensis",9.98092326076252,47.7391826761411,"Forb/herb","Rapid","No",NA,"None","None",0.073664825,0.066298343,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1702","Erigeron","Erigeron canadensis",9.98092326076252,47.7391826761411,"Forb/herb","Rapid","No",NA,"None","None",0,0,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1703","Erigeron","Erigeron canadensis",19.3110603083901,37.3753902320763,"Forb/herb","Rapid","No",NA,"None","None",1.086956522,0.125,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1704","Erigeron","Erigeron canadensis",19.3110603083901,37.3753902320763,"Forb/herb","Rapid","No",NA,"None","None",0.073664825,0.066298343,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1705","Erigeron","Erigeron canadensis",19.3110603083901,37.3753902320763,"Forb/herb","Rapid","No",NA,"None","None",0,0,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Zoochory"
"1706","Coreopsis","Coreopsis lanceolata",NA,NA,"Forb/herb","Moderate","No","Moderate","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,NA
"1707","Coreopsis","Coreopsis tinctoria",52.4372501572991,47.5627498427009,"Forb/herb","Rapid","No","Short","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,NA
"1708","Cornus","Cornus unalaschkensis",NA,NA,NA,NA,NA,NA,NA,NA,1.322751323,0.178571429,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1709","Corydalis","Corydalis caseana",NA,NA,"Forb/herb","Moderate","No","Moderate","None","Moderate",0,0,FALSE,FALSE,2.27e+11,4328.700058,4.949999571,FALSE,FALSE,NA
"1710","Corydalis","Corydalis scouleri",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1711","Crataegus","Crataegus suksdorfii",NA,NA,NA,NA,NA,NA,NA,NA,0.737704918,0.221311475,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1712","Crepis","Crepis acuminata",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0.101405186,0.059322034,TRUE,FALSE,1.64e+12,4015.060059,7.460000396,FALSE,FALSE,NA
"1713","Crepis","Crepis occidentalis",NA,NA,"Forb/herb","Moderate","No","Moderate","None","None",0.101405186,0.059322034,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1714","Crepis","Crepis runcinata",NA,NA,"Forb/herb","Moderate","No","Short","None","None",0.101405186,0.059322034,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1715","Croton","Croton setigerus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1716","Cryptantha","Cryptantha clevelandii",NA,NA,NA,NA,NA,NA,NA,NA,0.012498438,0.007874016,FALSE,FALSE,80690568866,1817.299973,4.559999466,FALSE,FALSE,NA
"1717","Cryptantha","Cryptantha muricata",NA,NA,NA,NA,NA,NA,NA,NA,0.012498438,0.007874016,FALSE,FALSE,4.43e+11,2835.949951,5.859999895,FALSE,FALSE,"Zoochory"
"1718","Cuscuta","Cuscuta pentagona",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,NA,NA,NA,TRUE,FALSE,"Hydrochory"
"1719","Cycladenia","Cycladenia humilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,3.19e+11,3978.389893,7.460000396,FALSE,FALSE,NA
"1720","Cynoglossum","Cynoglossum grande",NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,0.04,TRUE,FALSE,2.59e+11,4642.839844,5.529999971,FALSE,FALSE,NA
"1721","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1722","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1723","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1724","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1725","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1726","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1727","Cyperus","Cyperus acuminatus",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1728","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1729","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1730","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1731","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1732","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1733","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1734","Cyperus","Cyperus erythrorhizos",NA,NA,"Graminoid","Rapid","No","Short","None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1735","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1736","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1737","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1738","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1739","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1740","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1741","Cyperus","Cyperus strigosus",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1742","Cystopteris","Cystopteris fragilis",31.1180047026309,68.8819952973691,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1743","Danthonia","Danthonia intermedia",NA,NA,"Graminoid","Moderate","No","Short","None","None",0.793650794,0.138888889,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1744","Danthonia","Danthonia spicata",18.6351431474918,4.1714060178243,NA,NA,NA,NA,NA,NA,0.793650794,0.138888889,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1745","Danthonia","Danthonia unispicata",NA,NA,"Graminoid","Rapid","No","Short","None","None",0.793650794,0.138888889,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1746","Daucus","Daucus pusillus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1747","Daucus","Daucus pusillus",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,"Zoochory"
"1748","Delphinium","Delphinium californicum",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,54305091718,1718.899963,5.299999475,FALSE,FALSE,NA
"1749","Delphinium","Delphinium depauperatum",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1750","Delphinium","Delphinium glaucum",NA,NA,"Forb/herb","Rapid","No","Short","None","Severe",0.910973085,0.314285714,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1751","Delphinium","Delphinium menziesii",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1752","Delphinium","Delphinium nuttallianum",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1753","Delphinium","Delphinium nuttallii",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,98676718376,5311.359955,4.010000229,FALSE,FALSE,NA
"1754","Delphinium","Delphinium trolliifolium",NA,NA,NA,NA,NA,NA,NA,NA,0.910973085,0.314285714,TRUE,FALSE,87548307338,4200.559937,3.309999943,FALSE,FALSE,NA
"1755","Deschampsia","Deschampsia cespitosa subsp. cespitosa",NA,NA,"Graminoid","Moderate","No","Long","None","None",0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,NA
"1756","Deschampsia","Deschampsia danthonioides",NA,NA,"Graminoid","Moderate","No",NA,"None","None",0,0,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1757","Descurainia","Descurainia pinnata",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
"1758","Dicentra","Dicentra cucullaria",NA,NA,NA,NA,NA,NA,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA
"1759","Dichanthelium","Dichanthelium acuminatum",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,"Autochory"
