paperid,GPI_name,inv_ctry,explicit_invdef,explicit_invdefdesc,implicit_invdef,implicit_invdefdesc,locdata,locdata_type,finding
DECR2005,arundo donax,United States of America,Y,"it spreads rapidly, displacing native vegetation, destroying wildlife habitats and modifying physical and chemical site characteristics, water conservation and flood control efforts, and fire cycles ",NA,NA,N,NA,"a. donax exhibited seasonal patterns of recruitment but no dormancy at the high nitrogen site, while at the low nitrogen site no recruitment occurred in the winter and maximum recruitment was delayed by a month relative to the high nitrogen site. spread of a. donax was delayed until spring and lower overall in the low nitrogen site compared to the high nitrogen site, where lower initial density, greater production of shoots, and higher linear and areal addition indicated that this population was spreading more rapidly. temperature and precipitation influenced seasonality and amount of recruitment of a. donax in this study. "
DEER1999,lonicera maackii,United States of America,Y,"lonicera maackii, like many exotic species, negatively impacts native species, especially tree seedlings and forest herbs which compete with it for light, water and nutrients.",NA,NA,N,NA,"the current population age structure indicated that colonization likely occurred by a series of small dispersal events. the population remained small for about ten years and then increased dramatically, presumably due to the seed reproduction of the early colonizers."
DEFA2003,bromus madritensis,United States of America,N,NA,NA,NA,N,NA,"bromus was shown to use water more aggressively, produce larger seeds more likely to germinate immediately, and use resources without sensitivity to changes in n availability. these traits are thought to give it a competitive advantage over natives."
DEFA2007,bromus madritensis ssp. rubens,United States of America,Y,can comprise a large proportion of the total annual plant production,NA,NA,N,NA,"growth of perennials with mixed annuals as neighbors also did not differ from those with bromus neighbors of equivalent biomass, but stands of these native annuals did not achieve the high biomass of bromus stands that were necessary to reduce perennial growth."
DEFA2015,megathyrsus maximus,Brazil,N,NA,NA,NA,Y,COORDS,"the results indicate that elevated co2 and temperature could cause modifications to protoplasmic responses of invasive grasses. the effects caused, however, depend on the species investiagted. this ability to adapt or not to a changing environment may affect species distribution in natural and anthropized environments, especially in with predicted extreme weather."
DEFA2015,urochloa brizantha,Brazil,N,NA,NA,NA,Y,COORDS,"the results indicate that elevated co2 and temperature could cause modifications to protoplasmic responses of invasive grasses. the effects caused, however, depend on the species investiagted. this ability to adapt or not to a changing environment may affect species distribution in natural and anthropized environments, especially in with predicted extreme weather."
DEFA2015,urochloa decumbens,Brazil,N,NA,NA,NA,Y,COORDS,"the results indicate that elevated co2 and temperature could cause modifications to protoplasmic responses of invasive grasses. the effects caused, however, depend on the species investiagted. this ability to adapt or not to a changing environment may affect species distribution in natural and anthropized environments, especially in with predicted extreme weather."
DEFA2018,megathyrsus maximus,Brazil,N,NA,NA,NA,N,NA,"taken together, results suggest that despite having c4 metabolism, all three species were responsive to elevated co2, with metabolic responses differing according to the species...these responses show that the studied species are tolerant to high temperatures, and some of them could even benefit from temperature increase."
DEFA2018,urochloa decumbens,Brazil,N,NA,NA,NA,N,NA,"taken together, results suggest that despite having c4 metabolism, all three species were responsive to elevated co2, with metabolic responses differing according to the species...these responses show that the studied species are tolerant to high temperatures, and some of them could even benefit from temperature increase."
DEFA2018,urochloa brizantha,Brazil,N,NA,NA,NA,N,NA,"taken together, results suggest that despite having c4 metabolism, all three species were responsive to elevated co2, with metabolic responses differing according to the species...these responses show that the studied species are tolerant to high temperatures, and some of them could even benefit from temperature increase."
DEGA2007,berberis thunbergii,United States of America,N,NA,NA,NA,Y,BOTH,our results indicate that interpretations of both native community composition and modern plant invasions must consider the importance of historical landscape changes and the timing of species introduction
DEGR2007,solidago canadensis,Slovenia,Y,"dense monospecific stands, probably because of its high growth rate and its ability to spread locally by means of rhizomes.",NA,NA,Y,COORDS,our results suggest that insect species that are closely related to plant species composition are more vulnerable to the effects of invasive plant species than those that are loosely or only indirectly related to plant species composition.
DEHA2012,alliaria petiolata m. bieb. cavara and grande,United States of America,Y,alliaria petiolata (garlic mustard) is an invasive plant species which displaces native communities by lowering levels of mycorrhizal fungi essential to native plant nutrient acquisition.,NA,NA,Y,COORDS,"in invaded areas, arthropods were depleted in c and enriched in n relative to arthropods in uninvaded areas, suggesting a change in trophic position among generalist predators. slight trophic repositioning was observed in all 4 isotopes, indicating interactions of 3 primary predators throughout the study area. most observable shifts are likely due to predators either altering prey source or traveling further to acquire nutrients."
DEHL2008,pinus contorta,New Zealand,Y,"non-native, invasive plant species can have important effects on both the aboveground and belowground components of terrestrial ecosystems, as well as on ecosystem functioning.",NA,NA,Y,COORDS,invasion and domination of new landscapes by these species is likely to result in fundamental shifts in community- and ecosystem-level properties relative to those under native forest cover.
DEHL2008,pseudotsuga menziesii,New Zealand,Y,"non-native, invasive plant species can have important effects on both the aboveground and belowground components of terrestrial ecosystems, as well as on ecosystem functioning.",NA,NA,Y,COORDS,invasion and domination of new landscapes by these species is likely to result in fundamental shifts in community- and ecosystem-level properties relative to those under native forest cover.
DEHN2004,rhododendron ponticum,United Kingdom of Great Britain and Northern Ireland,Y,cost of removal to protect biodiversity,NA,NA,N,NA,study seeks to discover the optimum level of funding for control ops based on potential damage and finds that more could be spent to prevent damage.
DEIN2007,bromus tectorum,United States of America,Y,"litter creates a rather continuous and homogeneous layer of fine fuels, sufficient to drastically reduce fire-return intervals to as little as 5 years and eliminate the fire-sensitive native shrubs",NA,NA,Y,COORDS,"our results clearly demonstrate that lichen-dominated biological soil crust can inhibit germination and root penetration, but the extent of these effects depends on the composition of the crust."
DEKE2013,bromus inermis,United States of America,N,NA,NA,NA,Y,MAP,"the historic site's landscape changed dramatically from one with a highly diverse prairie landscape in 1984 (figures 3–6) to a more homogenous landscape dominated by kentucky bluegrass and smooth brome in 2007 (figures 3, 7, 8)."
DEKE2013,poa pratensis,United States of America,Y,"as kentucky bluegrass increases in cover, native prairie integrity is compromised as species are lost and productivity declines. kentucky bluegrass is able to compete against native species by producing numerous tillers and forming dense root mats. kentucky bluegrass exhibit a significant decrease in cover and frequency of native graminoid and forb species, and overall species diversity drops significantly.",NA,NA,Y,MAP,"the historic site's landscape changed dramatically from one with a highly diverse prairie landscape in 1984 (figures 3–6) to a more homogenous landscape dominated by kentucky bluegrass and smooth brome in 2007 (figures 3, 7, 8)."
DEKO2014,frangula alnus,United States of America,N,NA,NA,NA,N,NA,"we identified 7,383 snps from which the corresponding contig sequences were annotated to the available plant genomes. an enrichment analysis showed an excess of putatively adaptive and plastic gene ontology terms."
DELA2007,rhamnus cathartica,Canada,Y,"like many non-native plants, it has become invasive and threatens species-rich native ecosystems. its ability to dominate native flora results from high individual and population growth rates. in the great plains, it readily invades riparian and upland forests and native shrub communities. with invasion comes displacement of native species, changes in community structure and function, and a loss in biodiversity.",NA,NA,Y,BOTH,"results indicate good initial progress in limiting seed production in dense buckthorn sites, but at a high cost. although seed eradication is not a practical short-term goal for the saskatoon buckthorn population, chemical girdling can substantially and strategically reduce seed and effectively limit spread."
DELA2019,arctotheca calendula,Spain,N,NA,NA,NA,N,NA,"our study highlights that inferring community assembly rules from the exploration of functional and phylogenetic differences between invaded and non‐invaded plots is not straightforward. by considering invaders with different functional profiles, we have shown that species with different mechanisms of invasion have contrasting impacts on the community."
DELA2019,carpobrotus acinaciformis,Spain,N,NA,NA,NA,N,NA,"our study highlights that inferring community assembly rules from the exploration of functional and phylogenetic differences between invaded and non‐invaded plots is not straightforward. by considering invaders with different functional profiles, we have shown that species with different mechanisms of invasion have contrasting impacts on the community."
DELA2019,carpobrotus edulis,Spain,N,NA,NA,NA,N,NA,"our study highlights that inferring community assembly rules from the exploration of functional and phylogenetic differences between invaded and non‐invaded plots is not straightforward. by considering invaders with different functional profiles, we have shown that species with different mechanisms of invasion have contrasting impacts on the community."
DELA2019,conyza bonariensis,Spain,N,NA,NA,NA,N,NA,"our study highlights that inferring community assembly rules from the exploration of functional and phylogenetic differences between invaded and non‐invaded plots is not straightforward. by considering invaders with different functional profiles, we have shown that species with different mechanisms of invasion have contrasting impacts on the community."
DELA2019,opuntia dillenii,Spain,N,NA,NA,NA,N,NA,"our study highlights that inferring community assembly rules from the exploration of functional and phylogenetic differences between invaded and non‐invaded plots is not straightforward. by considering invaders with different functional profiles, we have shown that species with different mechanisms of invasion have contrasting impacts on the community."
DELA2020,ailanthus altissima,Spain,N,NA,NA,NA,Y,COORDS,the importance of litter age varied with both target and donor species...the results of this study contribute to the understanding of the net effect of fresh and decomposed litter from exotic and native trees on the growth of understory species.
DELA2020,robinia pseudoacacia,Spain,N,NA,NA,NA,Y,COORDS,the importance of litter age varied with both target and donor species...the results of this study contribute to the understanding of the net effect of fresh and decomposed litter from exotic and native trees on the growth of understory species.
DELA2020,ulmus pumila,Spain,N,NA,NA,NA,Y,COORDS,the importance of litter age varied with both target and donor species...the results of this study contribute to the understanding of the net effect of fresh and decomposed litter from exotic and native trees on the growth of understory species.
DELB2012,fallopia japonica,Belgium,N,NA,NA,NA,N,NA,"among the mechanical control methods, repeated cuts combined with native tree transplanting most appreciably reduced knotweed development. the most efficient methods we tested could curb knotweed invasion, but are not likely to be effective in eradicating the species."
DELF2014,erigeron annuus,Switzerland,N,NA,NA,NA,N,NA,"our results suggest that if invasive species release allelopathic compounds that suppress germination, they do so to a similar degree as the native plant community"
DELF2014,impatiens glandulifera,Switzerland,N,NA,NA,NA,N,NA,"our results suggest that if invasive species release allelopathic compounds that suppress germination, they do so to a similar degree as the native plant community"
DELF2014,solidago gigantea,Switzerland,N,NA,NA,NA,N,NA,"our results suggest that if invasive species release allelopathic compounds that suppress germination, they do so to a similar degree as the native plant community"
DELG2018,agave americana,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,ailanthus altissima,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,amaranthus cruentus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,amaranthus deflexus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,amaranthus hybridus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,amaranthus retroflexus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,amaranthus viridis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,araujia sericifera,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,artemisia annua,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,arundo donax,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,asparagus setaceus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,azolla filiculoides,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,bidens frondosa,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,bidens subalternans,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,bothriochloa laguroides,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,broussonetia papyrifera,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,carpobrotus acinaciformis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,carpobrotus edulis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,cestrum parqui,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,crepis sancta,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,datura stramonium,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,dysphania ambrosioides,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,egeria densa,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,eleusine indica,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,erigeron canadensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,euphorbia maculata,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,euphorbia prostrata,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,fallopia baldschuanica,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,galinsoga parviflora,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,galinsoga quadriradiata,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,genista etnensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,helianthus tuberosus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,ipomoea indica,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,mirabilis jalapa,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,oenothera glazioviana,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,opuntia ficus-indica,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,oxalis articulata,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,oxalis latifolia,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,oxalis pes-caprae,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,paspalum dilatatum,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,paspalum distichum,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,phoenix canariensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,abutilon theophrasti,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,pistia stratiotes,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,robinia pseudoacacia,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,salpichroa origanifolia,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,senecio inaequidens,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,sicyos angulatus,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,sorghum halepense,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,symphyotrichum squamatum,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,tradescantia fluminensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,veronica persica,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,xanthium italicum,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,erigeron bonariensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,erigeron sumatrensis,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELG2018,phytolacca americana,Italy,Y,"“invasive plants are a subset of naturalized plants that produce reproductive offspring, often in very large numbers, at considerable distances from the parent plants, and thus have the potential to spread over a large area”.",NA,NA,N,NA,trends in alien plants invasion throughout the investigated area are discussed. results are therefore compared with similar data from other italian regions and other european countries.
DELI2003,lythrum salicaria,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELI2003,phragmites australis,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELI2003,rorippa amphibia,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELI2003,butomus umbellatus,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELI2003,hydrocharis morsus-ranae,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELI2003,lycopus europaeus,Canada,N,NA,NA,NA,Y,MAP,"looked at herbarium records to reconstruct the spread of wetland vascular species, noted that the variable sampling effort for herbarium specimins in quebec neccessitates further studies being cautious about using herbarium data."
DELJ2017,vincetoxicum scabrum,"Iran, Islamic Republic of",N,NA,N,NA,Y,BOTH,"the results achieved in this work showed significant differences in terms of plant composition and diversity up to 10 m from forest road margins, similar to what was reported by other studies. moreover, we found five exotic plant species spread in the forest habitats up to 10 m far from main roads and 5 m along secondary roads."
DELT2017,lonicera japonica,United States of America,N,NA,NA,NA,N,NA,"this was the dawn of globalization and people were excited by the commercial and horticultural opportunities presented by the japanese flora. a hundred plus years later, after the law of unintended consequences had asserted itself, people began to recognize the negative ecological consequences of the plant introduction work that had begun with such promise."
DELT2017,reynoutria japonica,United States of America,N,NA,NA,NA,N,NA,"this was the dawn of globalization and people were excited by the commercial and horticultural opportunities presented by the japanese flora. a hundred plus years later, after the law of unintended consequences had asserted itself, people began to recognize the negative ecological consequences of the plant introduction work that had begun with such promise."
