paperid,author,title,year,journal,volume,issue,pages,doi,WoS,type
HOFF2002,"hoffmann, j. h.; impson, f. a.c.; moran, v. c.; donnelly, d.","biological control of invasive golden wattle trees (acacia pycnantha) by a gall wasp, trichilogaster sp. (hymenoptera: pteromalidae), in south africa",2002,biological control,25,1,64–73,10.1016/s1049-9644(02)00039-7,N,article
HOFF2004A,"hoffmann, william a.; lucatelli, verusca m.p.c.; silva, franciane j.; azeuedo, isaac n.c.; marinho, marcelo da s.; albuquerque, ana maria s.; lopes, apoena de o.; moreira, sirvana p.",impact of the invasive alien grass melinis minutiflora at the savanna-forest ecotone in the brazilian cerrado,2004,diversity and distributions,10,2,99–103,10.1111/j.1366-9516.2004.00063.x,N,article
HOFF2008,"hoffmann, william a.; haridasan, m.","the invasive grass, melinis minutiflora, inhibits tree regeneration in a neotropical savanna",2008,austral ecology,33,1,29–36,10.1111/j.1442-9993.2007.01787.x,N,article
HOFF2016,"hoffberg, sandra l.; mauricio, rodney","the persistence of invasive populations of kudzu near the northern periphery of its range in new york city determined from historical data1,2",2016,the journal of the torrey botanical society,143,4,437,10.3159/torrey-d-16-00032.1,Y,article
HOFL2014,"höfle, ricarda; dullinger, stefan; essl, franz","different factors affect the local distribution, persistence and spread of alien tree species in floodplain forests",2014,basic and applied ecology,15,5,426–434,10.1016/j.baae.2014.07.007,Y,article
HOFS1999,"hofstra, d. e.; clayton, j.; green, j. d.; auger, m.",competitive performance of hydrilla verticillata in new zealand,1999,aquatic botany,63,20200304,305–324,10.1016/s0304-3770(98)00125-9,Y,article
HOFS2000,"hofstra, d. e.; clayton, j.; green, j. d.; adam, k. d.",rapd profiling and isozyme analysis of new zealand hydriua verticillata,2000,aquatic botany,66,2,153–166,10.1016/s0304-3770(99)00067-4,Y,article
HOFS2001,"hofstra, deborah e; clayton, john s; getsinger, kurt d",evaluation of selected herbicides for the control of exotic submerged weeds in new zealand: ii. the effects of turbidity on diquat and endothall efficacy,2001,journal of aquatic plant management,39,,25–27,,N,article
HOFS2020,"hofstra, d; schoelynck, j; ferrell, j; coetzee, j; de winton, m; bickel, to; champion, p; madsen, j; bakker, es; hilt, s; matheson, f; netherland, m; gross, em",on the move: new insights on the ecology and management of native and alien macrophytes,2020,aquatic botany,162,NA,103190,10.1016/j.aquabot.2019.103190,Y,article
HOGS2007,"hogsden, kristy l.; sager, eric p.s.; hutchinson, tom c.","the impacts of the non-native macrophyte cabomba caroliniana on littoral biota of kasshabog lake, ontario",2007,journal of great lakes research,33,2,497–504,10.3394/0380-1330(2007)33[497:tiotnm]2.0.co;2,N,article
HOLA2015,"holaday, a. scott; schwilk, dylan w.; waring, elizabeth f.; guvvala, hasitha; griffin, chelsea m.; lewis, o. milo","plasticity of nitrogen allocation in the leaves of the invasive wetland grass, phalaris arundinacea and co-occurring carex species determines the photosynthetic sensitivity to nitrogen availability",2015,journal of plant physiology,177,,20–29,10.1016/j.jplph.2015.01.008,Y,article
HOLB2016,"holbrook, joseph d.; arkle, robert s.; rachlow, janet l.; vierling, kerri t.; pilliod, david s.; wiest, michelle m.",occupancy and abundance of predator and prey: implications of the fire-cheatgrass cycle in sagebrush ecosystems,2016,ecosphere,7,6,1307,10.1002/ecs2.1307,Y,article
HOLD2011,"holdredge, christine; bertness, mark d.",litter legacy increases the competitive advantage of invasive phragmites australis in new england wetlands,2011,biological invasions,13,2,423–433,10.1007/s10530-010-9836-2,Y,article
HOLE2006,"holec, j.; soukup, j.; jursík, m.; hamouz, p.",occurrence and spread of solanum physalifolium - a new invasive weed in the czech republic,2006,"journal of plant diseases and proctectio, supplement",20,20,493–496,,Y,article
HOLL1999,"hollingsworth, michelle l.; bailey, john p.; hollingsworth, peter m.; ferris, colin","chloroplast dna variation and hybridization between invasive populations of japanese knotweed and giant knotweed (fallopia, polygonaceae)",1999,botanical journal of the linnean society,129,2,139–154,10.1006/bojl.1998.0206,Y,article
HOLL2000,"hollingsworth, michelle l.; bailey, john p.",evidence for massive clonal growth in the invasive weed fallopia japonica (japanese knotweed),2000,botanical journal of the linnean society,133,4,463–472,10.1006/bojl.2000.0359,Y,article
HOLL2006,"holly, d. christopher; ervin, gary n.",characterization and quantitative assessment of interspecific and intraspecific penetration of below-ground vegetation by cogongrass (imperata cylindrica (l.) beauv.) rhizomes,2006,weed biology and management,6,2,120–123,10.1111/j.1445-6664.2006.00198.x,Y,article
HOLL2007,"holly, d. christopher; ervin, gary n.","effects of intraspecific seedling density, soil type, and light availability upon growth and biomass allocation in cogongrass (imperata cylindrica)",2007,weed technology,21,3,812–819,10.1614/wt-06-138.1,Y,article
HOLL2009,"holly, d. christopher; ervin, gary n.; jackson, colin r.; diehl, susan v.; kirker, grant t.",effect of an invasive grass on ambient rates of decomposition and microbial community structure: a search for causality,2009,biological invasions,11,8,1855–1868,10.1007/s10530-008-9364-5,Y,article
HOLM1989,"holmes, p.m.","effects of different clearing treatments on the seed-bank dynamics of an invasive australian shrub, acacia cyclops, in the southwestern cape, south africa",1989,forest ecology and management,28,1,33-46,10.1016/0378-1127(89)90072-8,N,article
HOLM2000A,"holmes, patricia m.; richardson, david m.; van wilgen, brian w.; gelderblom, caroline",recovery of south african fynbos vegetation following alien woody plant clearing and fire: implications for restoration,2000,austral ecology,25,6,631–639,10.1111/j.1442-9993.2000.tb00069.x,Y,article
HOLM2002,"holmes, patricia m.",depth distribution and composition of seed-banks in alien-invaded and uninvaded fynbos vegetation,2002,austral ecology,27,1,110–120,10.1046/j.1442-9993.2002.01164.x,Y,article
HOLM2009B,"holmes, katherine a.; berry, alison m.",evaluation of off-target effects due to basal bark treatment for control of invasive fig trees (ficus carica),2009,invasive plant science and management,2,4,345–351,10.1614/ipsm-09-029.1,Y,article
HOLM2010,"holmes, susan e.; roy, bitty a.; reed, jim p.; johnson, bart r.","context-dependent pattern and process: the distribution and competitive dynamics of an invasive grass, brachypodium sylvaticum",2010,biological invasions,12,7,2303–2318,10.1007/s10530-009-9645-7,Y,article
HOLM2011,"holmquist, jeffrey g.; schmidt-gengenbach, jutta; slaton, michèle r.",influence of invasive palms on terrestrial arthropod assemblages in desert spring habitat,2011,biological conservation,144,1,518–525,10.1016/j.biocon.2010.10.007,Y,article
HOLM2014,"holmes, katherine a.; greco, steven e.; berry, alison m.",pattern and process of fig (ficus carica) invasion in a california riparian forest,2014,invasive plant science and management,7,1,46–58,10.1614/ipsm-d-13-00045.1,Y,article
HOLM2016,"holmes, gareth d.; hall, nathan e.; gendall, anthony r.; boon, paul i.; james, elizabeth a.",using transcriptomics to identify differential gene expression in response to salinity among australian phragmites australis clones,2016,frontiers in plant science,7,20200416,432,10.3389/fpls.2016.00432,Y,article
HOLM2018,"holm, anne‐kari; elameen, abdelhameed; oliver, benedikte w.; brandsæter, lars o.; fløistad, inger s.; brurberg, may b.",low genetic variation of invasive fallopia spp. in their northernmost european distribution range,2018,ecology and evolution,8,1,755-764,10.1002/ece3.3703,Y,article
HOLO2010,"holomuzki, joseph r.; klarer, david m.",invasive reed effects on benthic community structure in lake erie coastal marshes,2010,wetlands ecology and management,18,2,219–231,10.1007/s11273-009-9161-7,Y,article
HOLS2010,"holsman, kirstin k.; mcdonald, p. sean; barreyro, pablo a.; armstrong, david a.",restoration through eradication? removal of an invasive bioengineer restores some habitat function for a native predator,2010,ecological applications,20,8,2249-2262,10.1890/09-1168.1,Y,article
HOLZ2011,"holzmueller, eric j.; jose, shibu","invasion success of cogongrass, an alien c4 perennial grass, in the southeastern united states: exploration of the ecological basis",2011,biological invasions,13,2,435–442,10.1007/s10530-010-9837-1,Y,article
HOLZ2015,"holzer, katie a.; lawler, sharon p.",introduced reed canary grass attracts and supports a common native amphibian,2015,the journal of wildlife management,79,7,1081–1090,10.1002/jwmg.930,Y,article
HOM2020,"hom, kmh; bajwa, sg; lym, rg; nowatzki, jf",discrimination of leafy spurge (euphorbia esula) and purple loosestrife (lythrum salicaria) based on field spectral data,2020,weed technology,34,2,250-259,10.1017/wet.2019.96,Y,article
HONG2007,"hong, l.; shen, h.; ye, w. h.; cao, h. l.; wang, z. m.",self-incompatibility in mikania micrantha in south china,2007,weed research,47,4,280–283,10.1111/j.1365-3180.2007.00575.x,Y,article
HONG2008B,"hong, lan; shen, hao; ye, wanhui; cao, honglin; wang, zhangming",secondary pollen presentation and style morphology in the invasive weed mikania micrantha in south china,2008,botanical studies,49,3,253–260,,Y,article
HOOD2000,"hood, w. gregory; naiman, robert j.",vulnerability of riparian zones to invasion by exotic vascular plants,2000,plant ecology,148,1,105–114,10.1023/a:1009800327334,Y,article
HOOD2013,"hood, w. gregory","applying and testing a predictive vegetation model to management of the invasive cattail, typha angustifolia l., in an oligohaline tidal marsh reveals priority effects caused by non-stationarity",2013,wetlands ecology and management,21,4,229–242,10.1007/s11273-013-9294-6,Y,article
HOOK2018,"hooks, triston n.; picchioni, geno a.; schutte, brian j.; shukla, manoj k.; daniel, david l.","sodium chloride effects on seed germination, growth, and water use of lepidium alyssoides, l. draba, and l. latifolium: traits of resistance and implications for invasiveness on saline soils",2018,rangeland ecology & management,71,4,433-442,10.1016/j.rama.2018.04.001,Y,article
HOOP2002,"hoopes, martha f.; hall, laura m.",edaphic factors and competition affect pattern formation and invasion in a california grassland,2002,ecological applications,12,1,24–39,10.1890/1051-0761(2002)012[0024:efacap]2.0.co;2,Y,article
HOOV2012,"hoover, amber n.; germino, matthew j.","a common-garden study of resource-island effects on a native and an exotic, annual grass after fire",2012,rangeland ecology & management,65,2,160–170,10.2111/rem-d-11-00026.1,Y,article
HOPL2015,"hopley, tara; zwart, alexander b.; young, andrew g.",among-population pollen movement and skewed male fitness in a dioecious weed,2015,biological invasions,17,7,2147–2161,10.1007/s10530-015-0867-6,Y,article
HORN2013,"hornoy, b.; atlan, a.; roussel, v.; buckley, y. m.; tarayre, m.",two colonisation stages generate two different patterns of genetic diversity within native and invasive ranges of ulex europaeus,2013,heredity,111,5,355–363,10.1038/hdy.2013.53,Y,article
HORN2015,"horn, josh; escobedo, francisco j.; hinkle, ross; hostetler, mark; timilsina, nilesh","the role of composition, invasives, and maintenance emissions on urban forest carbon stocks",2015,environmental management,55,2,431–442,10.1007/s00267-014-0400-1,Y,article
HORS2014,"horst, jonathan l.; kimball, sarah; becerra, judith x.; noge, koji; venable, d. lawrence",documenting the early stages of invasion of matthiola parviflora and predicting its spread in north america,2014,the southwestern naturalist,59,1,47–55,10.1894/f07-fmo-13.1,Y,article
HORT1998,"horton, j. l.; neufeld, h. s.","photosynthetic responses of microstegium vimineum (trin.) a. camus, a shade-tolerant, c4 grass, to variable light environments",1998,oecologia,114,1,11–19,10.1007/s004420050414,Y,article
HORT2010A,"hortal, joaquín; borges, paulo a.v.; jiménez-valverde, alberto; azevedo, eduardo b.; silva, luís","assessing the areas under risk of invasion within islands through potential distribution modelling: the case of pittosporum undulatum in são miguel, azores",2010,journal for nature conservation,18,4,247–257,10.1016/j.jnc.2009.11.002,Y,article
HORT2010B,"horton, jonathan l.; fortner, renee; goklany, maya",photosynthetic characteristics of the c 4 invasive exotic grass miscanthus sinensis andersson growing along gradients of light intensity in the southeastern united states,2010,castanea,75,1,52–66,10.2179/08-040.1,Y,article
HORV2001,"horvitz, carol c.; koop, anthony",removal of nonnative vines and post-hurricane recruitment in tropical hardwood forests of florida1,2001,biotropica,33,2,268,10.1646/0006-3606(2001)033[0268:ronvap]2.0.co;2,N,article
HORV2014,"horvitz, nir; wang, rui; zhu, min; wan, fang hao; nathan, ran",a simple modeling approach to elucidate the main transport processes and predict invasive spread: river-mediated invasion of ageratina adenophora in china,2014,water resources research,50,12,9738–9747,10.1002/2014wr015537,Y,article
HORV2017,"horvitz, nir; wang, rui; wan, fang hao; nathan, ran",pervasive human-mediated large-scale invasion: analysis of spread patterns and their underlying mechanisms in 17 of china's worst invasive plants,2017,journal of ecology,105,1,85–94,10.1111/1365-2745.12692,Y,article
HOTC2008,"hotchkiss, emily e.; ditommaso, antonio; brainard, daniel c.; mohler, charles l.",survival and performance of the invasive vine vincetoxicum rossicum (apocynaceae) from seeds of different embryo number under two light environments,2008,american journal of botany,95,4,447–453,10.3732/ajb.95.4.447,Y,article
HOU2011,"hou, yu ping; peng, shao lin; chen, bao ming; ni, guang yan",inhibition of an invasive plant (mikania micrantha h.b.k.) by soils of three different forests in lower subtropical china,2011,biological invasions,13,2,381–391,10.1007/s10530-010-9830-8,Y,article
HOU2014,"hou, qian qian; chen, bao ming; peng, shao lin; chen, lei yi",effects of extreme temperature on seedling establishment of nonnative invasive plants,2014,biological invasions,16,10,2049–2061,10.1007/s10530-014-0647-8,Y,article
HOUG2005,"houghton-thompson, jaimie; prince, harold h.; smith, james j.; hancock, james f.",evidence of hybridization between lythrum salicaria (purple loosestrife) and l. alatum (winged loosestrife) in north america,2005,annals of botany,96,5,877–885,10.1093/aob/mci240,Y,article
HOUG2008,"hough-goldstein, judith; schiff, megan; lake, ellen; butterworth, brian","impact of the biological control agent rhinoncomimus latipes (coleoptera: curculionidae) on mile-a-minute weed, persicaria perfoliata, in field cages",2008,biological control,46,3,417–423,10.1016/j.biocontrol.2008.04.001,N,article
HOUG2012,"hough-goldstein, judith; lacoss, shane j.","interactive effects of light environment and herbivory on growth and productivity of an invasive annual vine, persicaria perfoliata",2012,arthropod-plant interactions,6,1,103–112,10.1007/s11829-011-9158-z,Y,article
HOUL2017,"houliston, gary j.; goeke, dagmar f.",cortaderia spp. in new zealand: patterns of genetic variation in two widespread invasive species,2017,new zealand journal of ecology,41,1,107–112,10.20417/nzjecol.41.13,Y,article
HOUS2002,"houston, wayne a.; duivenvoorden, leo j.","replacement of littoral native vegetation with the ponded pasture grass hymenachne amplexicaulis: effects on plant, macroinvertebrate and fish biodiversity of backwaters in the fitzroy river, central queensland, australia",2002,marine and freshwater research,53,8,1235–1244,10.1071/mf01042,N,article
HOVE2016B,"hoveka, l. n.; bezeng, b. s.; yessoufou, k.; boatwright, j. s.; van der bank, m.",effects of climate change on the future distributions of the top five freshwater invasive plants in south africa,2016,south african journal of botany,102,,33–38,10.1016/j.sajb.2015.07.017,Y,article
HOVI2007,"hovick, stephen m.; reinartz, james a.",restoring forest in wetlands dominated by reed canarygrass: the effects of pre-planting treatments on early survival of planted stock,2007,wetlands,27,1,24–39,10.1672/0277-5212(2007)27[24:rfiwdb]2.0.co;2,Y,article
HOVI2011,"hovick, stephen m.; bunker, daniel e.; peterson, chris j.; carson, walter p.",purple loosestrife suppresses plant species colonization far more than broad-leaved cattail: experimental evidence with plant community implications,2011,journal of ecology,99,1,225–234,10.1111/j.1365-2745.2010.01754.x,Y,article
HOVI2015,"hovick, torre j.; elmore, r. dwayne; fuhlendorf, samuel d.; engle, david m.; hamilton, robert g.",spatial heterogeneity increases diversity and stability in grassland bird communities,2015,ecological applications,25,3,662–672,10.1890/14-1067.1,Y,article
HOWA2008,"howard, rebecca j.; travis, steven e.; sikes, benjamin a.","rapid growth of a eurasian haplotype of phragmites australis in a restored brackish marsh in louisiana, usa",2008,biological invasions,10,3,369–379,10.1007/s10530-007-9136-7,Y,article
HOWA2013,"howard, rebecca j.; turluck, theodore d.",phragmites australis expansion in a restored brackish marsh: documentation at different time scales,2013,wetlands,33,2,207–215,10.1007/s13157-012-0368-7,Y,article
HOWA2016,"howard, geoffrey w.; hyde, mark a.; bingham, mike g.",alien limnobium laevigatum (humb. & bonpl. ex willd.) heine (hydrocharitaceae) becoming prevalent in zimbabwe and zambia,2016,bioinvasions records,5,4,221–225,10.3391/bir.2016.5.4.05,Y,article
HOWE2016,"howell, clayson j.; mcalpine, kate g.",native plant species richness in non-native pinus contorta forest,2016,new zealand journal of ecology,40,1,131–136,10.20417/nzjecol.40.15,Y,article
HOYO2010,"hoyos, laura e.; gavier-pizarro, gregorio i.; kuemmerle, tobias; bucher, enrique h.; radeloff, volker c.; tecco, paula a.","invasion of glossy privet (ligustrum lucidum) and native forest loss in the sierras chicas of córdoba, argentina",2010,biological invasions,12,9,3261–3275,10.1007/s10530-010-9720-0,Y,article
HRAB2016,"hrabovsky, michal; scevkova, jana; micieta, karol; lafférsová, janka; dusicka, jozef",expansion and aerobiology of ambrosia artemisiifolia l. in slovakia,2016,annals of agricultural and environmental medicine,23,1,64–70,10.5604/12321966.1196854,Y,article
HU2013A,"hu, g. x.; xiang, c. l.; liu, e. d.","invasion status and risk assessment for salvia tiliifolia, a recently recognised introduction to china",2013,weed research,53,5,355–361,10.1111/wre.12030,Y,article
HU2013B,"hu, gang; zhang, zhonghua",allelopathic effects of chromolaena odorata on native and non-native invasive herbs,2013,"journal of food, agriculture and environment",11,1,878–882,,N,article
HU2014A,"hu, liang; li, mingguang",climbing capacity of the invasive vine mikania micrantha kunth on vertical artificial poles,2014,biological invasions,16,2,295–302,10.1007/s10530-013-0518-8,Y,article
HU2014B,"hu, lingzi; busby, ryan r.; gebhart, dick l.; yannarell, anthony c.",invasive lespedeza cuneata and native lespedeza virginica experience asymmetrical benefits from rhizobial symbionts,2014,plant and soil,384,20200102,315–325,10.1007/s11104-014-2213-7,Y,article
HU2015,"hu, zhong jian; ge, zhen ming; ma, qiang; zhang, zhi tong; tang, chen dong; cao, hao bin; zhang, tian yu; li, bo; zhang, li quan",revegetation of a native species in a newly formed tidal marsh under varying hydrological conditions and planting densities in the yangtze estuary,2015,ecological engineering,83,,354–363,10.1016/j.ecoleng.2015.07.005,Y,article
HU2019,"hu, xin‐sheng; zhang, xin‐xin; zhou, wei; hu, ying; wang, xi; chen, xiao‐yang",mating system shifts a species' range,2019,evolution,73,2,158-174,10.1111/evo.13663,Y,article
HUA2011,"hua, chen; jian, liu; yongli, zhang; qiang, wang; xiuli, ge; yinghua, wei; renqing, wang",influence of invasive plant coreopsis grandiflora on functional diversity of soil microbial communities,2011,journal of environmental biology,32,5,567–572,,Y,article
HUAN2007,"huang, huamei; zhang, liquan","a study of the population dynamics of spartina alterniflora at jiuduansha shoals, shanghai, china",2007,ecological engineering,29,2,164–172,10.1016/j.ecoleng.2006.06.005,Y,article
HUAN2010,"huang, wei; siemann, evan; wheeler, gregory s.; zou, jianwen; carrillo, juli; ding, jianqing",resource allocation to defence and growth are driven by different responses to generalist and specialist herbivory in an invasive plant,2010,journal of ecology,98,5,1157–1167,10.1111/j.1365-2745.2010.01704.x,Y,article
HUAN2012A,"huang, y. l.; fang, x. t.; lu, l.; yan, y. b.; chen, s. f.; hu, l.; zhu, c. c.; ge, x. j.; shi, s. h.",transcriptome analysis of an invasive weed mikania micrantha,2012,biologia plantarum,56,1,111–116,10.1007/s10535-012-0024-3,Y,article
HUAN2012B,"huang, ya lun; chen, shiang jiuun; kao, wen yuan","floral biology of bidens pilosa var. radiata, an invasive plant in taiwan",2012,botanical studies,53,4,501–507,,Y,article
HUAN2012C,"huang, wei; carrillo, juli; ding, jianqing; siemann, evan",interactive effects of herbivory and competition intensity determine invasive plant performance,2012,oecologia,170,2,373–382,10.1007/s00442-012-2328-6,Y,article
HUAN2014,"huang, y. l.; kao, w. y.",different breeding systems of three varieties of bidens pilosa in taiwan,2014,weed research,54,2,162–168,10.1111/wre.12060,Y,article
HUAN2015A,"huang, ya lun; kao, wen yuan",chromosome numbers of populations of three varieties of bidens pilosa in taiwan,2015,botanical studies,56,1,23,10.1186/s40529-015-0107-5,Y,article
HUAN2015B,"huang, hongjuan; ling, tiejun; wei, shouhui; zhang, chaoxian",a new 4-oxazolidinone from sorghum halepense (l.) pers,2015,records of natural products,9,2,247–250,,Y,article
HUAN2015C,"huang, fangfang; peng, shaolin; chen, baoming; liao, huixuan; huang, qiaoqiao; lin, zhenguang; liu, gang",rapid evolution of dispersal-related traits during range expansion of an invasive vine mikania micrantha,2015,oikos,124,8,1023–1030,10.1111/oik.01820,Y,article
HUAN2015D,"huang, haiyan; ye, rongjian; qi, meilan; li, xiangzhen; miller, david r.; stewart, charles neal; dubois, david w.; wang, junming","wind-mediated horseweed (conyza canadensis) gene flow: pollen emission, dispersion, and deposition",2015,ecology and evolution,5,13,2646-2658,10.1002/ece3.1540,Y,article
HUAN2016A,"huang, fangfang; peng, shaolin",intraspecific competitive ability declines towards the edge of the expanding range of the invasive vine mikania micrantha,2016,oecologia,181,1,115–123,10.1007/s00442-015-3526-9,Y,article
HUAN2016B,"huang, qiao q.; shen, yi d.; li, xiao x.; li, shao l.; fan, zhi w.",invasive eupatorium catarium and ageratum conyzoides benefit more than does a common native plant from nutrient addition in both competitive and non-competitive environments,2016,ecological research,31,1,145–152,10.1007/s11284-015-1323-x,Y,article
HUAN2016C,"huang, ya lun; kao, wen yuan","comparisons of growth, biomass allocation, and morphology of an invasive and two non-invasive varieties of bidens pilosa in taiwan",2016,taiwania,61,4,288–294,10.6165/tai.2016.61.288,Y,article
HUAN2016D,"huangfu, chaohe; li, huiyan; chen, xinwei; liu, hongmei; wang, hui; yang, dianlin","response of an invasive plant, flaveria bidentis, to nitrogen addition: a test of form-preference uptake",2016,biological invasions,18,11,3365–3380,10.1007/s10530-016-1231-1,Y,article
HUAN2017,"huang, qiaoqiao; shen, yide; li, xiaoxia; fan, zhiwei; li, shaoliang; liu, yan",performance of the invasive eupatorium catarium and ageratum conyzoides in comparison with a common native plant under varying levels of light and moisture,2017,weed biology and management,17,2,112–121,10.1111/wbm.12125,Y,article
HUAN2018A,"huang, q q; fan, z w; li, x x; wang, y; liu, y; shen, y d",effects of nutrient addition and clipping on biomass production of invasive and native annual asteraceae plants,2018,weed research,58,4,318-326,10.1111/wre.12308,Y,article
HUAN2018B,"huang, xiaolong; shen, nan; guan, xin; xu, xuan; kong, fanjiao; liu, chunhua; yu, dan",root morphological and structural comparisons of introduced and native aquatic plant species in multiple substrates,2018,aquatic ecology,52,1,65-76,10.1007/s10452-017-9645-0,Y,article
HUAN2018C,"huang, xiaolong; wang, ligong; guan, xin; gao, yuanyuan; liu, chunhua; yu, dan",the root structures of 21 aquatic plants in a macrophyte-dominated lake in china,2018,journal of plant ecology,11,1,39-46,10.1093/jpe/rtx018,Y,article
HUAN2020A,"huang, k; kong, dl; lu, xr; feng, ww; liu, mc; feng, yl",lesser leaf herbivore damage and structural defense and greater nutrient concentrations for invasive alien plants: evidence from 47 pairs of invasive and non-invasive plants,2020,science of the total environment,723,NA,137829,10.1016/j.scitotenv.2020.137829,Y,article
HUAN2020B,"huang, xl; xu, x; guan, bh; liu, sl; xie, hm; li, qs; li, ky","transformation of aquatic plant diversity in an environmentally sensitive area, the lake taihu drainage basin",2020,frontiers in plant science,11,NA,513788,10.3389/fpls.2020.513788,Y,article
HUBE2014,"huberty, martine; tielbörger, katja; harvey, jeffrey a.; müller, caroline; macel, mirka",chemical defenses (glucosinolates) of native and invasive populations of the range expanding invasive plant rorippa austriaca,2014,journal of chemical ecology,40,4,363–370,10.1007/s10886-014-0425-1,Y,article
HUDS2013,"hudson, jacob r.; hanula, james l.; horn, scott",removing chinese privet from riparian forests still benefits pollinators five years later,2013,biological conservation,167,,355–362,10.1016/j.biocon.2013.09.001,Y,article
HUEB2007,"huebner, cynthia d.; mcquattie, carolyn; rebbeck, joanne",mycorrhizal associations in ailanthus altissima (simaroubaceae) from forested and non-forested sites 1,2007,the journal of the torrey botanical society,134,1,27–33,10.3159/1095-5674(2007)134[27:maiaas]2.0.co;2,Y,article
HUEB2010A,"huebner, cynthia d",establishment of an invasive grass in closed-canopy deciduous forests across local and regional environmental gradients,2010,biological invasions,12,7,2069–2080,,Y,article
HUEB2010B,"huebner, cynthia d.",spread of an invasive grass in closed-canopy deciduous forests across local and regional environmental gradients,2010,biological invasions,12,7,2081–2089,10.1007/s10530-009-9610-5,Y,article
HUEB2011,"huebner, cynthia d.","seed mass, viability, and germination of japanese stiltgrass (microstegium vimineum) under variable light and moisture conditions",2011,invasive plant science and management,4,3,274–283,10.1614/ipsm-d-10-00090.1,Y,article
HUEB2014,"huebner, cynthia d.; steinman, jim; hutchinson, todd f.; ristau, todd e.; royo, alejandro a.",the distribution of a non-native (rosa multiflora) and native (kalmia latifolia) shrub in mature closed-canopy forests across soil fertility gradients,2014,plant and soil,377,20200102,259–276,10.1007/s11104-013-2000-x,Y,article
HUEL2007,"hüls, jörg; otte, annette; eckstein, r. lutz",population life-cycle and stand structure in dense and open stands of the introduced tall herb heracleum mantegazzianum,2007,biological invasions,9,7,799–811,10.1007/s10530-006-9082-9,Y,article
HUEN1990,"foster huenneke, laura; vitousek, peter m.",seedling and clonal recruitment of the invasive tree psidium cattleianum: implications for management of native hawaiian forests,1990,biological conservation,53,3,199-211,10.1016/0006-3207(90)90086-5,N,article
HUEN1995,"huenneke, laura foster; thomson, james k.",potential interference between a threatened endemic thistle and an invasive nonnative plant,1995,conservation biology,9,2,416-425,10.1046/j.1523-1739.1995.9020416.x,N,article
HUFB2008,"hufbauer, ruth a.; sforza, rené",multiple introductions of two invasive centaurea taxa inferred from cpdna haplotypes,2008,diversity and distributions,14,2,252–261,10.1111/j.1472-4642.2007.00424.x,Y,article
HUFF2016,"hufft, rebecca a.; zelikova, tamara j.","ecological genetics, local adaptation, and phenotypic plasticity in bromus tectorum in the context of a changing climate",2016,exotic brome-grasses in arid and semiarid ecosystems of the western us,,,133–154,,Y,article
HUGH1993,"hughes, flint; vitousek, peter m.",barriers to shrub reestablishment following fire in the seasonal submontane zone of hawai'i,1993,oecologia,93,4,557–563,10.1007/bf00328965,Y,article
HUGH2005,"hughes, r. f.; denslow, julie s.",invasion by a n2-fixing tree alters function and structure in wet lowland forests of hawaii,2005,ecological applications,15,5,1615–1628,10.1890/04-0874,N,article
HUGH2006,"hughes, r. flint; uowolo, amanda",impacts of falcataria moluccana invasion on decomposition in hawaiian lowland wet forests: the importance of stand-level controls,2006,ecosystems,9,6,977–991,10.1007/s10021-005-0083-9,N,article
HUGH2012,"hughes, r. flint; uowolo, amanda l.; togia, tavita p.","recovery of native forest after removal of an invasive tree, falcataria moluccana, in american samoa",2012,biological invasions,14,7,1393–1413,10.1007/s10530-011-0164-y,Y,article
HUGH2014,"hughes, r. flint; asner, gregory p.; mascaro, joseph; uowolo, amanda; baldwin, james",carbon storage landscapes of lowland hawaii: the role of native and invasive species through space and time,2014,ecological applications,24,4,716–731,10.1890/12-2253.1,Y,article
HUGH2016,"hughes, a. randall; schenck, forest r.; bloomberg, jeanne; hanley, torrance c.; feng, dongmei; gouhier, tarik c.; beighley, r. edward; kimbro, david l.",biogeographic gradients in ecosystem processes of the invasive ecosystem engineer phragmites australis,2016,biological invasions,18,9,2577–2595,10.1007/s10530-016-1143-0,Y,article
HUGH2020,"hughes, ka; pescott, ol; peyton, j; adriaens, t; cottier-cook, ej; key, g; rabitsch, w; tricarico, e; barnes, dka; baxter, n; belchier, m; blake, d; convey, p; dawson, w; frohlich, d; gardiner, lm; gonzalez-moreno, p; james, r; malumphy, c; martin, s; martinou, af; minchin, d; monaco, a; moore, n; morley, sa; ross, k; shanklin, j; turvey, k; vaughan, d; vaux, agc; werenkraut, v; winfield, ij; roy, he",invasive non-native species likely to threaten biodiversity and ecosystems in the antarctic peninsula region,2020,global change biology,26,4,2702-2716,10.1111/gcb.14938,Y,article
HUGU2005,"huguet, v.; ojeda land, e.; garcia casanova, j.; zimpfer, j. f.; fernandez, m. p.",genetic diversity of frankia microsymbionts from the relict species myrica faya (ait.) and myrica rivas-martinezii (s.) in canary islands and hawaii,2005,microbial ecology,49,4,617–625,10.1007/s00248-004-0107-6,Y,article
HUI2020,"hui, w; ceming, t; wen, x; xuan, w; dahan, arkx; qiang, f","vascular plants in the tourist area of lushan national nature reserve, china: status, threats and conservation",2020,journal on protected mountain areas research,12,1,60-63,10.1553/eco.mont-12-1s60,Y,article
